pid,time_code,item,domain_code,resp
P00075,T1,TOM01,D1,1.0
P00076,T1,TOM01,D1,1.0
P00077,T1,TOM01,D1,0.0
P00078,T1,TOM01,D1,1.0
P00079,T1,TOM01,D1,1.0
P00080,T1,TOM01,D1,0.0
P00081,T1,TOM01,D1,0.0
P00082,T1,TOM01,D1,0.0
P00083,T1,TOM01,D1,0.0
P00084,T1,TOM01,D1,1.0
P00085,T1,TOM01,D1,0.0
P00086,T1,TOM01,D1,0.0
P00087,T1,TOM01,D1,1.0
P00088,T1,TOM01,D1,0.0
P00089,T1,TOM01,D1,1.0
P00090,T1,TOM01,D1,0.0
P00091,T1,TOM01,D1,0.0
P00092,T1,TOM01,D1,1.0
P00093,T1,TOM01,D1,0.0
P00094,T1,TOM01,D1,0.0
P00095,T1,TOM01,D1,0.0
P00096,T1,TOM01,D1,0.0
P00097,T1,TOM01,D1,0.0
P00098,T1,TOM01,D1,0.0
P00099,T1,TOM01,D1,0.0
P00100,T1,TOM01,D1,1.0
P00101,T1,TOM01,D1,0.0
P00102,T1,TOM01,D1,1.0
P00103,T1,TOM01,D1,1.0
P00104,T1,TOM01,D1,1.0
P00105,T1,TOM01,D1,0.0
P00106,T1,TOM01,D1,1.0
P00107,T1,TOM01,D1,0.0
P00108,T1,TOM01,D1,1.0
P00109,T1,TOM01,D1,0.0
P00110,T1,TOM01,D1,0.0
P00111,T1,TOM01,D1,1.0
P00112,T1,TOM01,D1,1.0
P00113,T1,TOM01,D1,0.0
P00114,T1,TOM01,D1,1.0
P00115,T1,TOM01,D1,1.0
P00116,T1,TOM01,D1,0.0
P00117,T1,TOM01,D1,1.0
P00118,T1,TOM01,D1,0.0
P00119,T1,TOM01,D1,0.0
P00120,T1,TOM01,D1,0.0
P00121,T1,TOM01,D1,1.0
P00122,T1,TOM01,D1,1.0
P00123,T1,TOM01,D1,1.0
P00124,T1,TOM01,D1,1.0
P00125,T1,TOM01,D1,0.0
P00126,T1,TOM01,D1,0.0
P00127,T1,TOM01,D1,0.0
P00128,T1,TOM01,D1,1.0
P00129,T1,TOM01,D1,1.0
P00130,T1,TOM01,D1,0.0
P00131,T1,TOM01,D1,0.0
P00132,T1,TOM01,D1,0.0
P00133,T1,TOM01,D1,0.0
P00134,T1,TOM01,D1,0.0
P00135,T1,TOM01,D1,0.0
P00136,T1,TOM01,D1,1.0
P00137,T1,TOM01,D1,1.0
P00138,T1,TOM01,D1,1.0
P00139,T1,TOM01,D1,1.0
P00140,T1,TOM01,D1,0.0
P00141,T1,TOM01,D1,1.0
P00142,T1,TOM01,D1,0.0
P00143,T1,TOM01,D1,1.0
P00144,T1,TOM01,D1,1.0
P00145,T1,TOM01,D1,0.0
P00146,T1,TOM01,D1,1.0
P00147,T1,TOM01,D1,1.0
P00148,T1,TOM01,D1,0.0
P00149,T1,TOM01,D1,0.0
P00150,T1,TOM01,D1,1.0
P00151,T1,TOM01,D1,0.0
P00152,T1,TOM01,D1,1.0
P00153,T1,TOM01,D1,1.0
P00154,T1,TOM01,D1,1.0
P00155,T1,TOM01,D1,1.0
P00156,T1,TOM01,D1,0.0
P00157,T1,TOM01,D1,1.0
P00158,T1,TOM01,D1,1.0
P00159,T1,TOM01,D1,0.0
P00160,T1,TOM01,D1,0.0
P00161,T1,TOM01,D1,0.0
P00162,T1,TOM01,D1,0.0
P00163,T1,TOM01,D1,1.0
P00164,T1,TOM01,D1,1.0
P00165,T1,TOM01,D1,0.0
P00166,T1,TOM01,D1,0.0
P00167,T1,TOM01,D1,0.0
P00168,T1,TOM01,D1,1.0
P00169,T1,TOM01,D1,1.0
P00170,T1,TOM01,D1,0.0
P00171,T1,TOM01,D1,0.0
P00172,T1,TOM01,D1,0.0
P00173,T1,TOM01,D1,1.0
P00174,T1,TOM01,D1,0.0
P00175,T1,TOM01,D1,0.0
P00176,T1,TOM01,D1,1.0
P00177,T1,TOM01,D1,0.0
P00178,T1,TOM01,D1,1.0
P00179,T1,TOM01,D1,1.0
P00180,T1,TOM01,D1,0.0
P00181,T1,TOM01,D1,0.0
P00182,T1,TOM01,D1,0.0
P00183,T1,TOM01,D1,0.0
P00184,T1,TOM01,D1,0.0
P00185,T1,TOM01,D1,1.0
P00186,T1,TOM01,D1,1.0
P00187,T1,TOM01,D1,0.0
P00188,T1,TOM01,D1,0.0
P00189,T1,TOM01,D1,1.0
P00190,T1,TOM01,D1,1.0
P00191,T1,TOM01,D1,0.0
P00192,T1,TOM01,D1,0.0
P00193,T1,TOM01,D1,0.0
P00194,T1,TOM01,D1,1.0
P00195,T1,TOM01,D1,0.0
P00196,T1,TOM01,D1,1.0
P00197,T1,TOM01,D1,0.0
P00198,T1,TOM01,D1,0.0
P00199,T1,TOM01,D1,0.0
P00200,T1,TOM01,D1,0.0
P00201,T1,TOM01,D1,0.0
P00202,T1,TOM01,D1,0.0
P00203,T1,TOM01,D1,0.0
P00204,T1,TOM01,D1,0.0
P00205,T1,TOM01,D1,0.0
P00206,T1,TOM01,D1,1.0
P00207,T1,TOM01,D1,1.0
P00208,T1,TOM01,D1,0.0
P00209,T1,TOM01,D1,1.0
P00210,T1,TOM01,D1,0.0
P00211,T1,TOM01,D1,0.0
P00212,T1,TOM01,D1,1.0
P00213,T1,TOM01,D1,1.0
P00214,T1,TOM01,D1,1.0
P00215,T1,TOM01,D1,0.0
P00216,T1,TOM01,D1,0.0
P00217,T1,TOM01,D1,0.0
P00218,T1,TOM01,D1,0.0
P00219,T1,TOM01,D1,0.0
P00220,T1,TOM01,D1,1.0
P00221,T1,TOM01,D1,0.0
P00222,T1,TOM01,D1,1.0
P00223,T1,TOM01,D1,0.0
P00224,T1,TOM01,D1,0.0
P00225,T1,TOM01,D1,0.0
P00226,T1,TOM01,D1,0.0
P00227,T1,TOM01,D1,1.0
P00228,T1,TOM01,D1,0.0
P00229,T1,TOM01,D1,1.0
P00230,T1,TOM01,D1,1.0
P00231,T1,TOM01,D1,0.0
P00232,T1,TOM01,D1,0.0
P00233,T1,TOM01,D1,0.0
P00234,T1,TOM01,D1,1.0
P00235,T1,TOM01,D1,1.0
P00236,T1,TOM01,D1,0.0
P00237,T1,TOM01,D1,0.0
P00238,T1,TOM01,D1,0.0
P00239,T1,TOM01,D1,1.0
P00240,T1,TOM01,D1,1.0
P00241,T1,TOM01,D1,0.0
P00242,T1,TOM01,D1,0.0
P00243,T1,TOM01,D1,0.0
P00244,T1,TOM01,D1,1.0
P00245,T1,TOM01,D1,0.0
P00246,T1,TOM01,D1,0.0
P00247,T1,TOM01,D1,1.0
P00248,T1,TOM01,D1,0.0
P00249,T1,TOM01,D1,0.0
P00250,T1,TOM01,D1,1.0
P00251,T1,TOM01,D1,1.0
P00252,T1,TOM01,D1,0.0
P00253,T1,TOM01,D1,0.0
P00254,T1,TOM01,D1,1.0
P00255,T1,TOM01,D1,1.0
P00256,T1,TOM01,D1,0.0
P00257,T1,TOM01,D1,0.0
P00258,T1,TOM01,D1,0.0
P00259,T1,TOM01,D1,0.0
P00260,T1,TOM01,D1,1.0
P00261,T1,TOM01,D1,1.0
P00262,T1,TOM01,D1,1.0
P00263,T1,TOM01,D1,0.0
P00264,T1,TOM01,D1,0.0
P00265,T1,TOM01,D1,1.0
P00266,T1,TOM01,D1,1.0
P00267,T1,TOM01,D1,1.0
P00268,T1,TOM01,D1,0.0
P00269,T1,TOM01,D1,0.0
P00270,T1,TOM01,D1,1.0
P00271,T1,TOM01,D1,0.0
P00272,T1,TOM01,D1,0.0
P00273,T1,TOM01,D1,0.0
P00274,T1,TOM01,D1,0.0
P00275,T1,TOM01,D1,0.0
P00276,T1,TOM01,D1,0.0
P00277,T1,TOM01,D1,0.0
P00278,T1,TOM01,D1,0.0
P00279,T1,TOM01,D1,1.0
P00280,T1,TOM01,D1,0.0
P00281,T1,TOM01,D1,1.0
P00282,T1,TOM01,D1,0.0
P00283,T1,TOM01,D1,0.0
P00284,T1,TOM01,D1,0.0
P00285,T1,TOM01,D1,1.0
P00286,T1,TOM01,D1,1.0
P00287,T1,TOM01,D1,1.0
P00288,T1,TOM01,D1,0.0
P00289,T1,TOM01,D1,0.0
P00290,T1,TOM01,D1,0.0
P00291,T1,TOM01,D1,0.0
P00292,T1,TOM01,D1,0.0
P00293,T1,TOM01,D1,0.0
P00294,T1,TOM01,D1,0.0
P00295,T1,TOM01,D1,0.0
P00296,T1,TOM01,D1,0.0
P00297,T1,TOM01,D1,0.0
P00298,T1,TOM01,D1,0.0
P00299,T1,TOM01,D1,1.0
P00300,T1,TOM01,D1,0.0
P00301,T1,TOM01,D1,1.0
P00302,T1,TOM01,D1,0.0
P00303,T1,TOM01,D1,0.0
P00304,T1,TOM01,D1,0.0
P00305,T1,TOM01,D1,0.0
P00306,T1,TOM01,D1,1.0
P00307,T1,TOM01,D1,1.0
P00308,T1,TOM01,D1,0.0
P00309,T1,TOM01,D1,0.0
P00310,T1,TOM01,D1,0.0
P00311,T1,TOM01,D1,1.0
P00312,T1,TOM01,D1,1.0
P00313,T1,TOM01,D1,0.0
P00314,T1,TOM01,D1,0.0
P00315,T1,TOM01,D1,0.0
P00316,T1,TOM01,D1,1.0
P00317,T1,TOM01,D1,0.0
P00318,T1,TOM01,D1,0.0
P00319,T1,TOM01,D1,0.0
P00320,T1,TOM01,D1,0.0
P00321,T1,TOM01,D1,1.0
P00322,T1,TOM01,D1,0.0
P00323,T1,TOM01,D1,0.0
P00324,T1,TOM01,D1,1.0
P00325,T1,TOM01,D1,0.0
P00326,T1,TOM01,D1,0.0
P00327,T1,TOM01,D1,1.0
P00328,T1,TOM01,D1,0.0
P00329,T1,TOM01,D1,0.0
P00330,T1,TOM01,D1,1.0
P00331,T1,TOM01,D1,0.0
P00332,T1,TOM01,D1,1.0
P00333,T1,TOM01,D1,0.0
P00334,T1,TOM01,D1,0.0
P00335,T1,TOM01,D1,1.0
P00336,T1,TOM01,D1,1.0
P00337,T1,TOM01,D1,0.0
P00338,T1,TOM01,D1,1.0
P00339,T1,TOM01,D1,0.0
P00340,T1,TOM01,D1,1.0
P00341,T1,TOM01,D1,0.0
P00342,T1,TOM01,D1,0.0
P00343,T1,TOM01,D1,0.0
P00344,T1,TOM01,D1,0.0
P00345,T1,TOM01,D1,1.0
P00346,T1,TOM01,D1,0.0
P00347,T1,TOM01,D1,0.0
P00348,T1,TOM01,D1,0.0
P00349,T1,TOM01,D1,0.0
P00350,T1,TOM01,D1,1.0
P00351,T1,TOM01,D1,1.0
P00352,T1,TOM01,D1,1.0
P00353,T1,TOM01,D1,0.0
P00354,T1,TOM01,D1,0.0
P00355,T1,TOM01,D1,0.0
P00356,T1,TOM01,D1,0.0
P00357,T1,TOM01,D1,1.0
P00358,T1,TOM01,D1,1.0
P00359,T1,TOM01,D1,0.0
P00360,T1,TOM01,D1,1.0
P00361,T1,TOM01,D1,0.0
P00362,T1,TOM01,D1,1.0
P00363,T1,TOM01,D1,0.0
P00364,T1,TOM01,D1,1.0
P00365,T1,TOM01,D1,1.0
P00366,T1,TOM01,D1,0.0
P00367,T1,TOM01,D1,0.0
P00368,T1,TOM01,D1,0.0
P00369,T1,TOM01,D1,0.0
P00370,T1,TOM01,D1,1.0
P00371,T1,TOM01,D1,0.0
P00372,T1,TOM01,D1,0.0
P00373,T1,TOM01,D1,1.0
P00374,T1,TOM01,D1,1.0
P00375,T1,TOM01,D1,1.0
P00376,T1,TOM01,D1,1.0
P00377,T1,TOM01,D1,1.0
P00378,T1,TOM01,D1,0.0
P00379,T1,TOM01,D1,1.0
P00380,T1,TOM01,D1,1.0
P00381,T1,TOM01,D1,0.0
P00382,T1,TOM01,D1,0.0
P00383,T1,TOM01,D1,1.0
P00384,T1,TOM01,D1,1.0
P00385,T1,TOM01,D1,1.0
P00386,T1,TOM01,D1,0.0
P00387,T1,TOM01,D1,0.0
P00388,T1,TOM01,D1,0.0
P00389,T1,TOM01,D1,0.0
P00390,T1,TOM01,D1,1.0
P00391,T1,TOM01,D1,0.0
P00392,T1,TOM01,D1,0.0
P00393,T1,TOM01,D1,0.0
P00394,T1,TOM01,D1,1.0
P00395,T1,TOM01,D1,1.0
P00396,T1,TOM01,D1,1.0
P00397,T1,TOM01,D1,0.0
P00398,T1,TOM01,D1,0.0
P00399,T1,TOM01,D1,0.0
P00400,T1,TOM01,D1,0.0
P00401,T1,TOM01,D1,1.0
P00402,T1,TOM01,D1,0.0
P00403,T1,TOM01,D1,1.0
P00404,T1,TOM01,D1,1.0
P00405,T1,TOM01,D1,0.0
P00406,T1,TOM01,D1,1.0
P00407,T1,TOM01,D1,1.0
P00408,T1,TOM01,D1,1.0
P00409,T1,TOM01,D1,0.0
P00410,T1,TOM01,D1,1.0
P00411,T1,TOM01,D1,0.0
P00412,T1,TOM01,D1,0.0
P00413,T1,TOM01,D1,0.0
P00414,T1,TOM01,D1,1.0
P00415,T1,TOM01,D1,0.0
P00416,T1,TOM01,D1,0.0
P00417,T1,TOM01,D1,0.0
P00418,T1,TOM01,D1,0.0
P00419,T1,TOM01,D1,1.0
P00420,T1,TOM01,D1,0.0
P00421,T1,TOM01,D1,0.0
P00422,T1,TOM01,D1,0.0
P00423,T1,TOM01,D1,0.0
P00424,T1,TOM01,D1,0.0
P00425,T1,TOM01,D1,0.0
P00426,T1,TOM01,D1,0.0
P00427,T1,TOM01,D1,0.0
P00428,T1,TOM01,D1,0.0
P00429,T1,TOM01,D1,0.0
P00430,T1,TOM01,D1,1.0
P00431,T1,TOM01,D1,1.0
P00432,T1,TOM01,D1,1.0
P00433,T1,TOM01,D1,1.0
P00434,T1,TOM01,D1,0.0
P00435,T1,TOM01,D1,0.0
P00436,T1,TOM01,D1,0.0
P00437,T1,TOM01,D1,1.0
P00438,T1,TOM01,D1,0.0
P00439,T1,TOM01,D1,0.0
P00440,T1,TOM01,D1,0.0
P00441,T1,TOM01,D1,1.0
P00442,T1,TOM01,D1,0.0
P00443,T1,TOM01,D1,0.0
P00444,T1,TOM01,D1,0.0
P00445,T1,TOM01,D1,1.0
P00446,T1,TOM01,D1,0.0
P00447,T1,TOM01,D1,1.0
P00448,T1,TOM01,D1,0.0
P00449,T1,TOM01,D1,1.0
P00450,T1,TOM01,D1,0.0
P00451,T1,TOM01,D1,0.0
P00452,T1,TOM01,D1,0.0
P00453,T1,TOM01,D1,1.0
P00454,T1,TOM01,D1,0.0
P00455,T1,TOM01,D1,1.0
P00456,T1,TOM01,D1,0.0
P00457,T1,TOM01,D1,1.0
P00458,T1,TOM01,D1,0.0
P00459,T1,TOM01,D1,0.0
P00460,T1,TOM01,D1,1.0
P00461,T1,TOM01,D1,0.0
P00462,T1,TOM01,D1,0.0
P00463,T1,TOM01,D1,0.0
P00464,T1,TOM01,D1,0.0
P00465,T1,TOM01,D1,0.0
P00466,T1,TOM01,D1,1.0
P00467,T1,TOM01,D1,0.0
P00468,T1,TOM01,D1,1.0
P00469,T1,TOM01,D1,0.0
P00470,T1,TOM01,D1,1.0
P00471,T1,TOM01,D1,0.0
P00472,T1,TOM01,D1,0.0
P00473,T1,TOM01,D1,1.0
P00474,T1,TOM01,D1,1.0
P00475,T1,TOM01,D1,0.0
P00476,T1,TOM01,D1,0.0
P00477,T1,TOM01,D1,0.0
P00478,T1,TOM01,D1,1.0
P00479,T1,TOM01,D1,0.0
P00480,T1,TOM01,D1,0.0
P00481,T1,TOM01,D1,0.0
P00482,T1,TOM01,D1,1.0
P00483,T1,TOM01,D1,0.0
P00484,T1,TOM01,D1,0.0
P00485,T1,TOM01,D1,0.0
P00486,T1,TOM01,D1,1.0
P00487,T1,TOM01,D1,0.0
P00488,T1,TOM01,D1,0.0
P00489,T1,TOM01,D1,0.0
P00490,T1,TOM01,D1,0.0
P00491,T1,TOM01,D1,1.0
P00492,T1,TOM01,D1,1.0
P00493,T1,TOM01,D1,1.0
P00494,T1,TOM01,D1,1.0
P00495,T1,TOM01,D1,1.0
P00496,T1,TOM01,D1,1.0
P00497,T1,TOM01,D1,0.0
P00498,T1,TOM01,D1,1.0
P00499,T1,TOM01,D1,1.0
P00500,T1,TOM01,D1,1.0
P00501,T1,TOM01,D1,0.0
P00502,T1,TOM01,D1,1.0
P00503,T1,TOM01,D1,0.0
P00504,T1,TOM01,D1,1.0
P00505,T1,TOM01,D1,1.0
P00506,T1,TOM01,D1,1.0
P00507,T1,TOM01,D1,0.0
P00508,T1,TOM01,D1,1.0
P00509,T1,TOM01,D1,1.0
P00510,T1,TOM01,D1,1.0
P00511,T1,TOM01,D1,1.0
P00512,T1,TOM01,D1,0.0
P00513,T1,TOM01,D1,1.0
P00514,T1,TOM01,D1,0.0
P00515,T1,TOM01,D1,1.0
P00516,T1,TOM01,D1,0.0
P00517,T1,TOM01,D1,1.0
P00518,T1,TOM01,D1,1.0
P00519,T1,TOM01,D1,0.0
P00520,T1,TOM01,D1,1.0
P00521,T1,TOM01,D1,0.0
P00522,T1,TOM01,D1,0.0
P00523,T1,TOM01,D1,1.0
P00524,T1,TOM01,D1,1.0
P00525,T1,TOM01,D1,0.0
P00526,T1,TOM01,D1,0.0
P00527,T1,TOM01,D1,1.0
P00528,T1,TOM01,D1,0.0
P00529,T1,TOM01,D1,1.0
P00530,T1,TOM01,D1,0.0
P00531,T1,TOM01,D1,0.0
P00532,T1,TOM01,D1,0.0
P00533,T1,TOM01,D1,1.0
P00534,T1,TOM01,D1,0.0
P00535,T1,TOM01,D1,0.0
P00536,T1,TOM01,D1,0.0
P00537,T1,TOM01,D1,1.0
P00538,T1,TOM01,D1,0.0
P00539,T1,TOM01,D1,1.0
P00540,T1,TOM01,D1,1.0
P00541,T1,TOM01,D1,1.0
P00542,T1,TOM01,D1,0.0
P00543,T1,TOM01,D1,0.0
P00544,T1,TOM01,D1,0.0
P00545,T1,TOM01,D1,0.0
P00546,T1,TOM01,D1,1.0
P00547,T1,TOM01,D1,1.0
P00548,T1,TOM01,D1,1.0
P00549,T1,TOM01,D1,1.0
P00550,T1,TOM01,D1,0.0
P00551,T1,TOM01,D1,0.0
P00552,T1,TOM01,D1,1.0
P00553,T1,TOM01,D1,1.0
P00554,T1,TOM01,D1,0.0
P00555,T1,TOM01,D1,0.0
P00556,T1,TOM01,D1,1.0
P00557,T1,TOM01,D1,1.0
P00558,T1,TOM01,D1,1.0
P00559,T1,TOM01,D1,0.0
P00560,T1,TOM01,D1,0.0
P00561,T1,TOM01,D1,1.0
P00562,T1,TOM01,D1,1.0
P00563,T1,TOM01,D1,1.0
P00564,T1,TOM01,D1,0.0
P00565,T1,TOM01,D1,0.0
P00566,T1,TOM01,D1,1.0
P00567,T1,TOM01,D1,1.0
P00568,T1,TOM01,D1,1.0
P00569,T1,TOM01,D1,0.0
P00570,T1,TOM01,D1,0.0
P00571,T1,TOM01,D1,1.0
P00572,T1,TOM01,D1,0.0
P00573,T1,TOM01,D1,0.0
P00574,T1,TOM01,D1,1.0
P00575,T1,TOM01,D1,1.0
P00576,T1,TOM01,D1,0.0
P00577,T1,TOM01,D1,1.0
P00578,T1,TOM01,D1,0.0
P00579,T1,TOM01,D1,0.0
P00580,T1,TOM01,D1,0.0
P00581,T1,TOM01,D1,1.0
P00582,T1,TOM01,D1,0.0
P00583,T1,TOM01,D1,1.0
P00584,T1,TOM01,D1,0.0
P00585,T1,TOM01,D1,1.0
P00586,T1,TOM01,D1,0.0
P00587,T1,TOM01,D1,0.0
P00588,T1,TOM01,D1,1.0
P00589,T1,TOM01,D1,1.0
P00590,T1,TOM01,D1,0.0
P00591,T1,TOM01,D1,1.0
P00592,T1,TOM01,D1,1.0
P00593,T1,TOM01,D1,0.0
P00594,T1,TOM01,D1,1.0
P00595,T1,TOM01,D1,0.0
P00596,T1,TOM01,D1,0.0
P00597,T1,TOM01,D1,1.0
P00598,T1,TOM01,D1,1.0
P00599,T1,TOM01,D1,0.0
P00600,T1,TOM01,D1,1.0
P00601,T1,TOM01,D1,1.0
P00602,T1,TOM01,D1,0.0
P00603,T1,TOM01,D1,1.0
P00604,T1,TOM01,D1,0.0
P00605,T1,TOM01,D1,0.0
P00606,T1,TOM01,D1,0.0
P00607,T1,TOM01,D1,0.0
P00608,T1,TOM01,D1,0.0
P00609,T1,TOM01,D1,0.0
P00610,T1,TOM01,D1,0.0
P00611,T1,TOM01,D1,0.0
P00612,T1,TOM01,D1,0.0
P00613,T1,TOM01,D1,0.0
P00614,T1,TOM01,D1,0.0
P00615,T1,TOM01,D1,1.0
P00616,T1,TOM01,D1,1.0
P00617,T1,TOM01,D1,0.0
P00618,T1,TOM01,D1,0.0
P00619,T1,TOM01,D1,1.0
P00620,T1,TOM01,D1,0.0
P00621,T1,TOM01,D1,0.0
P00622,T1,TOM01,D1,0.0
P00623,T1,TOM01,D1,0.0
P00624,T1,TOM01,D1,1.0
P00625,T1,TOM01,D1,1.0
P00626,T1,TOM01,D1,1.0
P00627,T1,TOM01,D1,0.0
P00628,T1,TOM01,D1,0.0
P00629,T1,TOM01,D1,0.0
P00630,T1,TOM01,D1,1.0
P00631,T1,TOM01,D1,1.0
P00632,T1,TOM01,D1,0.0
P00633,T1,TOM01,D1,0.0
P00634,T1,TOM01,D1,0.0
P00635,T1,TOM01,D1,0.0
P00636,T1,TOM01,D1,0.0
P00637,T1,TOM01,D1,0.0
P00638,T1,TOM01,D1,0.0
P00639,T1,TOM01,D1,1.0
P00640,T1,TOM01,D1,1.0
P00641,T1,TOM01,D1,0.0
P00642,T1,TOM01,D1,1.0
P00643,T1,TOM01,D1,0.0
P00644,T1,TOM01,D1,0.0
P00645,T1,TOM01,D1,1.0
P00646,T1,TOM01,D1,1.0
P00647,T1,TOM01,D1,1.0
P00648,T1,TOM01,D1,1.0
P00649,T1,TOM01,D1,0.0
P00650,T1,TOM01,D1,0.0
P00651,T1,TOM01,D1,0.0
P00652,T1,TOM01,D1,1.0
P00653,T1,TOM01,D1,1.0
P00654,T1,TOM01,D1,1.0
P00655,T1,TOM01,D1,0.0
P00656,T1,TOM01,D1,0.0
P00657,T1,TOM01,D1,1.0
P00658,T1,TOM01,D1,1.0
P00659,T1,TOM01,D1,0.0
P00660,T1,TOM01,D1,1.0
P00661,T1,TOM01,D1,1.0
P00662,T1,TOM01,D1,0.0
P00663,T1,TOM01,D1,1.0
P00664,T1,TOM01,D1,0.0
P00665,T1,TOM01,D1,0.0
P00666,T1,TOM01,D1,1.0
P00667,T1,TOM01,D1,0.0
P00668,T1,TOM01,D1,1.0
P00669,T1,TOM01,D1,1.0
P00670,T1,TOM01,D1,0.0
P00671,T1,TOM01,D1,0.0
P00672,T1,TOM01,D1,0.0
P00673,T1,TOM01,D1,1.0
P00674,T1,TOM01,D1,0.0
P00675,T1,TOM01,D1,0.0
P00676,T1,TOM01,D1,1.0
P00677,T1,TOM01,D1,1.0
P00678,T1,TOM01,D1,0.0
P00679,T1,TOM01,D1,0.0
P00680,T1,TOM01,D1,0.0
P00681,T1,TOM01,D1,1.0
P00682,T1,TOM01,D1,0.0
P00683,T1,TOM01,D1,0.0
P00684,T1,TOM01,D1,0.0
P00685,T1,TOM01,D1,1.0
P00686,T1,TOM01,D1,0.0
P00687,T1,TOM01,D1,0.0
P00688,T1,TOM01,D1,0.0
P00689,T1,TOM01,D1,0.0
P00690,T1,TOM01,D1,1.0
P00691,T1,TOM01,D1,0.0
P00692,T1,TOM01,D1,0.0
P00693,T1,TOM01,D1,0.0
P00694,T1,TOM01,D1,1.0
P00695,T1,TOM01,D1,0.0
P00696,T1,TOM01,D1,0.0
P00697,T1,TOM01,D1,0.0
P00698,T1,TOM01,D1,0.0
P00699,T1,TOM01,D1,1.0
P00700,T1,TOM01,D1,1.0
P00701,T1,TOM01,D1,0.0
P00702,T1,TOM01,D1,0.0
P00703,T1,TOM01,D1,0.0
P00704,T1,TOM01,D1,0.0
P00705,T1,TOM01,D1,0.0
P00706,T1,TOM01,D1,0.0
P00707,T1,TOM01,D1,1.0
P00708,T1,TOM01,D1,0.0
P00709,T1,TOM01,D1,1.0
P00710,T1,TOM01,D1,0.0
P00711,T1,TOM01,D1,1.0
P00712,T1,TOM01,D1,0.0
P00713,T1,TOM01,D1,0.0
P00714,T1,TOM01,D1,1.0
P00715,T1,TOM01,D1,0.0
P00716,T1,TOM01,D1,0.0
P00717,T1,TOM01,D1,0.0
P00718,T1,TOM01,D1,1.0
P00719,T1,TOM01,D1,1.0
P00720,T1,TOM01,D1,1.0
P00721,T1,TOM01,D1,1.0
P00722,T1,TOM01,D1,0.0
P00723,T1,TOM01,D1,0.0
P00724,T1,TOM01,D1,1.0
P00725,T1,TOM01,D1,0.0
P00726,T1,TOM01,D1,0.0
P00727,T1,TOM01,D1,1.0
P00728,T1,TOM01,D1,0.0
P00729,T1,TOM01,D1,1.0
P00730,T1,TOM01,D1,0.0
P00731,T1,TOM01,D1,1.0
P00732,T1,TOM01,D1,0.0
P00733,T1,TOM01,D1,0.0
P00734,T1,TOM01,D1,1.0
P00735,T1,TOM01,D1,0.0
