pid,sess_done,sess_rate,sess_dur_min,adhere_rate
P00355,82,0.911,21.6,0.971
P00356,76,0.844,19.1,0.937
P00357,90,1.000,19.4,0.983
P00358,86,0.956,19.9,0.957
P00359,81,0.900,17.5,0.859
P00360,84,0.933,21.3,0.799
P00361,57,0.633,17.7,0.957
P00362,75,0.833,16.2,0.951
P00363,69,0.767,20.9,0.828
P00364,80,0.889,15.1,0.870
P00365,83,0.922,20.6,0.876
P00366,66,0.733,17.6,0.834
P00367,90,1.000,19.0,0.932
P00368,75,0.833,18.2,0.935
P00369,80,0.889,15.9,0.898
P00370,82,0.911,16.7,0.977
P00371,79,0.878,15.3,0.919
P00372,82,0.911,17.1,0.925
P00373,80,0.889,15.3,0.845
P00374,66,0.733,17.3,0.959
P00375,77,0.856,18.0,0.777
P00376,81,0.900,22.0,0.984
P00377,67,0.744,17.2,0.964
P00378,75,0.833,17.7,0.734
P00379,88,0.978,10.0,0.962
P00380,70,0.778,12.9,0.817
P00381,86,0.956,18.6,0.954
P00382,68,0.756,16.4,0.909
P00383,85,0.944,20.2,0.972
P00384,80,0.889,22.4,0.861
P00385,78,0.867,15.1,0.863
P00386,86,0.956,17.9,0.773
P00387,75,0.833,20.1,0.979
P00388,79,0.878,13.0,0.740
P00389,87,0.967,19.9,0.949
P00390,80,0.889,19.2,0.858
P00391,78,0.867,22.4,0.866
P00392,74,0.822,20.6,0.938
P00393,90,1.000,22.1,0.873
P00394,76,0.844,19.5,0.957
P00395,76,0.844,14.8,0.905
P00396,60,0.667,17.2,0.770
P00397,78,0.867,20.6,0.985
P00398,78,0.867,17.7,0.909
P00399,89,0.989,16.8,0.912
P00400,73,0.811,19.0,0.895
P00401,90,1.000,16.0,0.933
P00402,82,0.911,20.3,0.849
P00403,84,0.933,18.5,0.713
P00404,71,0.789,25.0,0.886
P00405,73,0.811,21.7,0.944
P00406,79,0.878,19.1,0.934
P00407,86,0.956,16.0,0.802
P00408,83,0.922,21.8,0.918
P00409,73,0.811,18.3,0.929
P00410,75,0.833,19.3,0.939
P00411,77,0.856,15.8,0.915
P00412,83,0.922,22.6,0.946
P00413,71,0.789,18.7,0.805
P00414,89,0.989,18.5,0.893
P00415,72,0.800,21.2,0.898
P00416,78,0.867,19.6,0.974
P00417,68,0.756,23.7,0.962
P00418,74,0.822,17.3,0.856
P00419,90,1.000,16.0,0.938
P00420,61,0.678,22.2,0.698
P00421,86,0.956,14.3,0.924
P00422,78,0.867,20.7,0.961
P00423,90,1.000,17.2,0.891
P00424,87,0.967,16.0,0.862
P00425,89,0.989,16.9,0.918
P00426,81,0.900,18.4,0.875
P00427,70,0.778,17.7,0.959
P00428,84,0.933,19.7,0.917
P00429,86,0.956,21.7,0.882
P00430,70,0.778,19.3,0.874
P00431,80,0.889,15.7,0.772
P00432,73,0.811,16.3,0.904
P00433,74,0.822,19.6,0.945
P00434,81,0.900,14.7,0.927
P00435,73,0.811,17.4,0.893
P00436,89,0.989,21.2,0.903
P00437,61,0.678,18.0,0.924
P00438,64,0.711,16.9,0.901
P00439,59,0.656,19.7,0.694
P00440,76,0.844,19.6,0.976
P00441,80,0.889,16.7,0.991
P00442,73,0.811,19.0,0.868
P00443,73,0.811,15.1,0.932
P00444,83,0.922,13.9,0.828
P00445,78,0.867,21.9,0.881
P00446,75,0.833,21.7,0.833
P00447,73,0.811,20.4,0.833
P00448,79,0.878,20.0,0.843
P00449,76,0.844,16.1,0.938
P00450,62,0.689,17.7,0.925
P00451,81,0.900,19.5,0.938
P00452,60,0.667,15.3,0.949
P00453,79,0.878,16.5,0.960
P00454,70,0.778,17.8,0.761
P00455,81,0.900,18.7,0.843
P00456,70,0.778,19.4,0.940
P00457,75,0.833,17.2,0.920
P00458,64,0.711,18.5,0.959
P00459,80,0.889,18.2,0.894
P00460,82,0.911,18.7,0.888
P00461,90,1.000,21.7,0.966
P00462,81,0.900,13.6,0.840
P00463,73,0.811,16.5,0.886
P00464,79,0.878,15.4,0.950
P00465,64,0.711,19.8,0.857
P00466,90,1.000,20.7,0.883
P00467,89,0.989,19.8,0.894
P00468,62,0.689,16.9,0.845
P00469,58,0.644,18.7,0.823
P00470,67,0.744,19.9,0.924
P00471,85,0.944,19.3,0.889
P00472,52,0.578,19.1,0.844
P00473,79,0.878,19.3,0.906
P00474,89,0.989,19.6,0.953
P00475,81,0.900,19.6,0.940
P00476,73,0.811,17.2,0.908
P00477,71,0.789,16.6,0.956
P00478,79,0.878,19.2,0.903
P00479,81,0.900,16.2,0.929
P00480,78,0.867,18.7,0.903
P00481,74,0.822,17.7,0.883
P00482,80,0.889,18.3,0.915
P00483,79,0.878,16.5,0.890
P00484,90,1.000,16.9,0.846
P00485,78,0.867,18.2,0.987
P00486,71,0.789,21.4,0.915
P00487,81,0.900,19.6,0.967
P00488,89,0.989,20.3,0.927
P00489,90,1.000,18.7,0.932
P00490,87,0.967,19.9,0.870
P00491,77,0.856,20.4,0.873
P00492,74,0.822,20.4,0.869
P00493,56,0.622,21.9,0.833
P00494,78,0.867,22.7,0.899
P00495,78,0.867,19.8,0.907
P00496,74,0.822,21.6,0.797
P00497,84,0.933,21.0,0.885
P00498,78,0.867,17.9,0.918
P00499,89,0.989,15.5,0.917
P00500,69,0.767,25.0,0.941
P00501,76,0.844,17.1,0.846
P00502,67,0.744,17.2,0.918
P00503,89,0.989,19.6,0.928
P00504,77,0.856,22.3,0.908
P00505,75,0.833,18.7,0.920
P00506,87,0.967,18.4,0.913
P00507,78,0.867,19.0,0.979
P00508,71,0.789,14.7,0.925
P00509,71,0.789,19.0,0.918
P00510,84,0.933,16.3,0.855
P00511,62,0.689,15.2,0.863
P00512,78,0.867,18.2,0.815
P00513,87,0.967,20.3,0.868
P00514,74,0.822,18.4,0.894
P00515,84,0.933,19.9,0.970
P00516,68,0.756,23.0,0.862
P00517,85,0.944,18.1,0.835
P00518,90,1.000,13.8,0.877
P00519,85,0.944,22.0,0.941
P00520,79,0.878,19.8,0.975
P00521,86,0.956,12.7,0.914
P00522,74,0.822,14.2,0.913
P00523,86,0.956,16.9,0.886
P00524,77,0.856,17.9,0.884
P00525,79,0.878,12.7,0.947
P00526,67,0.744,16.5,0.947
P00527,77,0.856,19.5,0.888
P00528,59,0.656,15.9,0.928
P00529,78,0.867,16.2,0.880
P00530,77,0.856,16.7,0.944
P00531,73,0.811,18.7,0.930
P00532,85,0.944,13.2,0.777
P00533,87,0.967,21.9,0.928
P00534,80,0.889,14.2,0.752
P00535,63,0.700,22.8,0.877
P00536,71,0.789,15.6,0.894
P00537,81,0.900,16.5,0.910
P00538,75,0.833,21.3,0.992
P00539,90,1.000,19.9,0.923
P00540,69,0.767,18.1,0.879
P00541,77,0.856,16.6,0.737
P00542,54,0.600,21.6,0.962
P00543,81,0.900,20.0,0.877
P00544,71,0.789,19.0,0.839
P00545,83,0.922,18.3,0.933
P00546,90,1.000,15.2,0.868
P00547,75,0.833,15.6,0.904
P00548,73,0.811,18.5,0.832
P00549,78,0.867,18.3,0.999
P00550,83,0.922,21.6,0.960
P00551,85,0.944,20.4,0.881
P00552,65,0.722,16.0,0.898
P00553,85,0.944,17.1,0.952
P00554,82,0.911,17.8,0.958
P00555,89,0.989,17.3,0.745
P00556,76,0.844,17.1,0.964
P00557,90,1.000,18.1,0.925
P00558,82,0.911,17.5,0.899
P00559,74,0.822,21.4,0.800
P00560,81,0.900,17.7,0.836
P00561,86,0.956,17.5,0.755
P00562,74,0.822,17.4,0.821
P00563,69,0.767,16.6,0.887
P00564,80,0.889,18.8,0.944
P00565,79,0.878,20.2,0.874
P00566,77,0.856,24.8,0.949
P00567,84,0.933,20.3,0.959
P00568,83,0.922,19.9,0.817
P00569,82,0.911,16.6,0.981
P00570,81,0.900,20.6,0.974
P00571,84,0.933,17.5,0.856
P00572,61,0.678,19.1,0.924
P00573,72,0.800,15.1,0.922
P00574,84,0.933,19.0,0.951
P00575,90,1.000,18.5,0.860
P00576,90,1.000,16.6,0.959
P00577,69,0.767,20.8,0.925
P00578,89,0.989,18.1,0.874
P00579,76,0.844,19.3,0.935
P00580,90,1.000,18.5,0.951
P00581,70,0.778,20.9,0.959
P00582,79,0.878,22.0,0.986
P00583,72,0.800,17.7,0.939
P00584,90,1.000,16.8,0.967
P00585,82,0.911,18.8,0.976
P00586,69,0.767,17.9,0.734
P00587,86,0.956,17.2,0.821
P00588,87,0.967,21.2,0.771
P00589,73,0.811,20.0,0.950
P00590,69,0.767,20.1,0.913
P00591,74,0.822,21.8,0.931
P00592,88,0.978,21.2,0.962
P00593,72,0.800,18.2,0.927
P00594,79,0.878,19.2,0.973
P00595,71,0.789,18.1,0.931
P00596,83,0.922,16.7,0.925
P00597,78,0.867,16.8,0.909
P00598,66,0.733,19.4,0.921
P00599,74,0.822,18.1,0.876
P00600,83,0.922,18.9,0.968
P00601,75,0.833,18.0,0.860
P00602,90,1.000,17.3,0.846
P00603,85,0.944,17.2,0.861
P00604,71,0.789,18.3,0.978
P00605,86,0.956,15.0,0.823
P00606,79,0.878,18.2,0.944
P00607,81,0.900,14.1,0.942
P00608,82,0.911,16.6,0.790
P00609,90,1.000,17.7,0.900
P00610,68,0.756,15.8,0.909
P00611,72,0.800,19.4,0.906
P00612,74,0.822,17.0,0.989
P00613,72,0.800,12.9,0.876
P00614,82,0.911,15.9,0.857
P00615,82,0.911,18.7,0.902
P00616,86,0.956,15.3,0.909
P00617,90,1.000,19.0,0.931
P00618,79,0.878,16.2,0.901
P00619,81,0.900,21.5,0.999
P00620,75,0.833,14.1,0.958
P00621,75,0.833,13.6,0.949
P00622,60,0.667,22.2,0.981
P00623,86,0.956,20.2,0.882
P00624,77,0.856,22.6,0.982
P00625,70,0.778,22.9,0.895
P00626,69,0.767,20.1,0.856
P00627,83,0.922,22.4,0.992
P00628,90,1.000,17.0,0.942
P00629,79,0.878,20.0,0.943
P00630,72,0.800,23.4,0.986
P00631,63,0.700,18.8,0.856
P00632,65,0.722,20.2,0.927
P00633,69,0.767,18.7,0.939
P00634,82,0.911,17.1,0.810
P00635,73,0.811,22.0,0.922
P00636,80,0.889,17.3,0.845
P00637,85,0.944,15.9,0.904
P00638,90,1.000,22.8,0.976
P00639,73,0.811,16.6,0.914
P00640,69,0.767,17.1,0.880
P00641,69,0.767,17.2,0.664
P00642,76,0.844,18.5,0.926
P00643,82,0.911,19.7,0.695
P00644,82,0.911,16.7,0.871
P00645,80,0.889,18.2,0.924
P00646,83,0.922,22.5,0.954
P00647,68,0.756,12.8,0.857
P00648,70,0.778,20.8,0.805
P00649,65,0.722,14.2,0.930
P00650,76,0.844,14.1,0.920
P00651,72,0.800,17.4,0.867
P00652,63,0.700,17.1,0.764
P00653,74,0.822,19.5,0.875
P00654,85,0.944,19.9,0.917
P00655,76,0.844,21.4,0.906
P00656,76,0.844,16.0,0.974
P00657,90,1.000,12.9,0.985
P00658,90,1.000,19.2,0.928
P00659,61,0.678,20.8,0.962
P00660,89,0.989,20.4,0.935
P00661,86,0.956,19.9,0.856
P00662,75,0.833,23.3,0.749
P00663,71,0.789,18.1,0.935
P00664,88,0.978,17.9,0.870
P00665,80,0.889,20.0,0.918
P00666,83,0.922,20.1,0.960
P00667,82,0.911,20.1,0.977
P00668,59,0.656,25.0,0.982
P00669,67,0.744,21.8,0.915
P00670,66,0.733,19.2,0.975
P00671,89,0.989,17.6,0.925
P00672,67,0.744,16.0,0.972
P00673,86,0.956,19.9,0.764
P00674,81,0.900,15.7,0.933
P00675,69,0.767,21.2,0.935
P00676,74,0.822,18.7,0.935
P00677,82,0.911,11.8,0.896
P00678,80,0.889,18.2,0.768
P00679,76,0.844,15.6,0.807
P00680,71,0.789,16.7,0.981
P00681,79,0.878,16.8,0.891
P00682,90,1.000,18.1,0.952
P00683,81,0.900,16.5,0.945
P00684,83,0.922,20.8,0.834
P00685,63,0.700,21.2,0.890
P00686,63,0.700,19.0,0.768
P00687,85,0.944,17.2,0.832
P00688,53,0.589,23.2,0.943
P00689,80,0.889,15.6,0.861
P00690,69,0.767,13.3,0.875
P00691,77,0.856,22.0,0.959
P00692,88,0.978,18.5,0.919
P00693,80,0.889,16.0,0.842
P00694,57,0.633,17.9,0.970
P00695,89,0.989,17.9,0.814
P00696,62,0.689,23.2,0.974
P00697,85,0.944,20.0,0.929
P00698,89,0.989,19.7,0.801
P00699,79,0.878,21.8,0.916
P00700,66,0.733,20.6,0.916
P00701,85,0.944,21.1,0.883
P00702,84,0.933,17.8,0.890
P00703,90,1.000,16.9,0.827
P00704,74,0.822,13.2,0.741
P00705,90,1.000,22.4,0.878
P00706,78,0.867,17.6,0.855
P00707,84,0.933,16.6,0.945
P00708,88,0.978,18.2,0.902
P00709,87,0.967,18.5,0.945
P00710,76,0.844,17.1,0.905
P00711,76,0.844,20.4,0.930
P00712,90,1.000,15.8,0.912
P00713,70,0.778,18.3,0.816
P00714,89,0.989,22.3,0.787
P00715,78,0.867,19.9,0.962
P00716,67,0.744,17.8,0.976
P00717,85,0.944,14.3,0.921
P00718,83,0.922,13.8,0.950
P00719,63,0.700,16.3,0.908
P00720,88,0.978,19.9,0.926
P00721,71,0.789,20.9,0.804
P00722,90,1.000,15.9,0.909
P00723,75,0.833,19.2,0.892
P00724,75,0.833,18.5,0.993
P00725,81,0.900,24.8,0.881
P00726,90,1.000,15.9,0.790
P00727,74,0.822,18.6,0.745
P00728,79,0.878,19.9,0.851
P00729,85,0.944,17.4,0.942
P00730,61,0.678,21.4,0.740
P00731,66,0.733,17.4,0.694
P00732,69,0.767,15.1,0.931
P00733,78,0.867,20.9,0.997
P00734,70,0.778,15.1,0.894
P00735,83,0.922,15.6,0.943
P00736,82,0.911,20.3,0.953
P00737,76,0.844,22.2,0.836
P00738,82,0.911,17.3,0.902
P00739,90,1.000,19.2,0.943
P00740,71,0.789,17.9,0.915
P00741,86,0.956,15.2,0.962
P00742,80,0.889,23.6,0.830
P00743,77,0.856,18.6,0.892
P00744,74,0.822,20.4,0.743
P00745,83,0.922,18.8,0.803
P00746,84,0.933,16.7,0.993
P00747,85,0.944,19.2,0.867
P00748,71,0.789,12.5,0.845
P00749,87,0.967,19.6,0.897
P00750,60,0.667,19.3,0.957
P00751,88,0.978,21.3,0.907
P00752,84,0.933,17.2,0.875
P00753,86,0.956,19.0,0.875
P00754,71,0.789,16.7,0.890
P00755,82,0.911,21.1,0.855
P00756,90,1.000,16.6,0.844
P00757,66,0.733,19.6,0.966
P00758,64,0.711,16.9,0.900
P00759,88,0.978,18.3,0.901
P00760,71,0.789,21.5,0.825
P00761,85,0.944,19.0,0.890
P00762,81,0.900,17.1,0.926
P00763,90,1.000,14.3,0.919
P00764,67,0.744,16.3,0.793
P00765,81,0.900,17.1,0.890
P00766,89,0.989,19.8,0.574
P00767,72,0.800,17.1,0.807
P00768,84,0.933,16.3,0.948
P00769,77,0.856,16.3,0.899
P00770,88,0.978,18.6,0.829
P00771,79,0.878,17.7,0.861
P00772,90,1.000,15.9,0.909
P00773,88,0.978,12.7,0.970
P00774,70,0.778,15.3,0.814
