pid,site,fid,age_m,sex_code,ses_z,arm_code,partner_code,content_code
P00064,4,F0397,62.0,2,-1.02,A2,X1,M2
P00065,11,F0229,62.0,2,0.93,A2,X1,M2
P00066,6,F1004,50.0,1,0.32,B1,X2,M1
P00067,8,F0613,69.0,1,0.09,B2,X2,M2
P00068,5,F0663,67.0,2,0.08,B1,X2,M1
P00069,11,F0940,64.0,2,2.76,B1,X2,M1
P00070,6,F0684,54.0,2,-2.26,A2,X1,M2
P00071,6,F0488,61.0,2,-0.95,B1,X2,M1
P00072,8,F0891,55.0,1,1.50,B2,X2,M2
P00073,12,F0995,72.0,2,0.36,B2,X2,M2
P00074,10,F0201,58.0,2,0.77,B1,X2,M1
P00075,6,F0012,66.0,1,-0.23,A2,X1,M2
P00076,3,F0428,65.0,1,0.61,A1,X1,M1
P00077,9,F0292,57.0,1,-0.20,A2,X1,M2
P00078,5,F0295,64.0,1,0.93,B1,X2,M1
P00079,6,F0154,62.0,2,-1.56,B2,X2,M2
P00080,4,F0562,62.0,2,-0.39,A2,X1,M2
P00081,8,F0549,61.0,1,0.94,B1,X2,M1
P00082,5,F0170,63.0,1,-2.28,B2,X2,M2
P00083,6,F0047,48.0,2,-1.53,A1,X1,M1
P00084,9,F0817,68.0,2,-0.20,A2,X1,M2
P00085,9,F0912,59.0,1,-1.91,B2,X2,M2
P00086,11,F0206,61.0,1,-0.14,A1,X1,M1
P00087,10,F1037,70.0,2,-1.64,A1,X1,M1
P00088,9,F0186,70.0,1,-0.39,A1,X1,M1
P00089,12,F0785,59.0,1,0.12,B2,X2,M2
P00090,6,F0279,63.0,1,-0.49,A1,X1,M1
P00091,3,F0806,60.0,1,-0.45,A1,X1,M1
P00092,12,F0738,61.0,2,0.40,A1,X1,M1
P00093,8,F0895,53.0,1,-0.48,B1,X2,M1
P00094,11,F0073,49.0,2,0.19,A1,X1,M1
P00095,12,F0219,57.0,2,-1.44,B2,X2,M2
P00096,6,F0544,51.0,2,-0.49,A2,X1,M2
P00097,7,F0409,66.0,2,-0.81,A1,X1,M1
P00098,3,F0082,53.0,1,-0.50,A2,X1,M2
P00099,9,F0748,61.0,2,-1.44,A2,X1,M2
P00100,12,F0052,60.0,1,2.03,A2,X1,M2
P00101,5,F0662,72.0,2,-0.13,B1,X2,M1
P00102,9,F0059,55.0,1,-0.21,A2,X1,M2
P00103,9,F0478,59.0,2,0.20,B1,X2,M1
P00104,12,F0758,74.0,2,0.25,A2,X1,M2
P00105,12,F0460,77.0,2,1.34,B1,X2,M1
P00106,7,F0950,63.0,2,-0.25,A1,X1,M1
P00107,3,F0967,59.0,1,-0.39,A2,X1,M2
P00108,2,F0888,69.0,2,0.53,A1,X1,M1
P00109,7,F0163,65.0,2,-0.97,B2,X2,M2
P00110,2,F0614,60.0,1,0.56,B2,X2,M2
P00111,11,F0761,48.0,2,-0.32,B1,X2,M1
P00112,10,F0985,62.0,1,0.84,A2,X1,M2
P00113,11,F0918,70.0,2,0.21,B1,X2,M1
P00114,3,F0424,70.0,1,0.02,B1,X2,M1
P00115,2,F0745,63.0,1,-0.05,B1,X2,M1
P00116,8,F0707,67.0,1,-0.17,B1,X2,M1
P00117,6,F0379,64.0,2,0.01,B2,X2,M2
P00118,2,F0251,66.0,1,-0.87,B2,X2,M2
P00119,4,F0857,55.0,1,-0.35,A2,X1,M2
P00120,11,F0069,58.0,1,-0.07,A2,X1,M2
P00121,4,F0988,65.0,1,0.87,B1,X2,M1
P00122,12,F0691,58.0,1,0.56,A2,X1,M2
P00123,5,F0877,58.0,2,0.37,B2,X2,M2
P00124,12,F0022,57.0,1,1.44,B1,X2,M1
P00125,8,F1012,69.0,1,0.01,A2,X1,M2
P00126,9,F0434,54.0,2,2.07,B2,X2,M2
P00127,8,F0436,71.0,2,-0.00,A1,X1,M1
P00128,12,F0375,59.0,1,-0.28,B2,X2,M2
P00129,7,F0569,58.0,1,0.81,B1,X2,M1
P00130,6,F0726,64.0,2,-1.36,A2,X1,M2
P00131,9,F0825,48.0,1,0.19,A2,X1,M2
P00132,4,F0823,57.0,2,1.00,B2,X2,M2
P00133,8,F0979,66.0,1,1.49,A2,X1,M2
P00134,3,F1039,64.0,2,-0.11,A1,X1,M1
P00135,7,F0596,75.0,1,-0.69,B2,X2,M2
P00136,9,F0036,60.0,1,1.25,A2,X1,M2
P00137,2,F0993,72.0,1,1.13,B2,X2,M2
P00138,9,F0754,73.0,2,0.68,B2,X2,M2
P00139,8,F0140,57.0,1,-0.99,B1,X2,M1
P00140,6,F0055,64.0,2,0.12,B2,X2,M2
P00141,6,F0744,72.0,2,-0.01,B2,X2,M2
P00142,8,F0458,60.0,1,1.39,A2,X1,M2
P00143,8,F0700,62.0,1,1.04,A1,X1,M1
P00144,8,F0907,58.0,2,-0.23,A1,X1,M1
P00145,6,F0903,63.0,2,0.89,A1,X1,M1
P00146,5,F0414,64.0,2,-0.66,A2,X1,M2
P00147,1,F0149,64.0,2,-0.61,B2,X2,M2
P00148,1,F0572,60.0,2,-0.69,A2,X1,M2
P00149,12,F0026,51.0,1,1.57,A1,X1,M1
P00150,12,F0923,62.0,2,0.41,A1,X1,M1
P00151,6,F1001,63.0,1,0.31,A1,X1,M1
P00152,4,F0202,61.0,2,0.21,B2,X2,M2
P00153,2,F0519,58.0,1,-0.70,B1,X2,M1
P00154,8,F1042,48.0,2,-0.82,B1,X2,M1
P00155,1,F0376,61.0,2,1.09,B2,X2,M2
P00156,9,F1040,54.0,2,0.80,B1,X2,M1
P00157,1,F0450,65.0,1,-1.27,A1,X1,M1
P00158,11,F0906,77.0,2,-0.96,B2,X2,M2
P00159,1,F0481,60.0,2,1.28,B1,X2,M1
P00160,3,F0045,48.0,2,0.48,A2,X1,M2
P00161,3,F0845,57.0,2,0.22,A1,X1,M1
P00162,2,F0630,60.0,2,-0.03,A2,X1,M2
P00163,3,F0138,55.0,1,0.62,B2,X2,M2
P00164,10,F0901,65.0,1,0.61,A1,X1,M1
P00165,2,F0228,69.0,1,-0.41,B1,X2,M1
P00166,6,F0721,48.0,2,-0.26,B2,X2,M2
P00167,6,F0115,53.0,2,1.62,B2,X2,M2
P00168,7,F0148,53.0,1,1.02,B2,X2,M2
P00169,4,F1050,59.0,2,-0.89,B2,X2,M2
P00170,3,F0329,59.0,1,2.36,B1,X2,M1
P00171,6,F0285,70.0,1,-2.35,B1,X2,M1
P00172,5,F0256,54.0,1,0.84,A2,X1,M2
P00173,12,F0143,62.0,1,0.82,B2,X2,M2
P00174,5,F0014,62.0,1,0.07,A2,X1,M2
P00175,5,F0464,67.0,2,-1.44,A1,X1,M1
P00176,5,F0001,72.0,1,-0.03,A1,X1,M1
P00177,5,F0127,65.0,2,-2.12,A2,X1,M2
P00178,11,F0386,64.0,2,-0.16,A1,X1,M1
P00179,3,F0483,66.0,1,-0.78,B1,X2,M1
P00180,8,F0020,63.0,2,-0.94,A1,X1,M1
P00181,5,F0919,50.0,2,-0.67,A2,X1,M2
P00182,5,F0270,65.0,1,1.61,A2,X1,M2
P00183,8,F0240,72.0,2,0.08,B2,X2,M2
P00184,2,F0387,59.0,1,-0.15,A1,X1,M1
P00185,7,F0151,60.0,1,-0.92,B1,X2,M1
P00186,9,F0352,68.0,1,-1.76,A1,X1,M1
P00187,9,F1009,61.0,1,-2.11,B1,X2,M1
P00188,6,F0291,69.0,1,1.11,B2,X2,M2
P00189,5,F0402,52.0,2,0.62,A2,X1,M2
P00190,10,F0678,59.0,1,-0.93,B1,X2,M1
P00191,7,F1029,65.0,1,0.53,A2,X1,M2
P00192,6,F0911,66.0,1,0.07,B2,X2,M2
P00193,3,F0086,53.0,2,-1.71,A1,X1,M1
P00194,9,F0064,67.0,1,-0.60,A1,X1,M1
P00195,2,F0027,65.0,1,0.09,A1,X1,M1
P00196,3,F0009,68.0,1,1.60,B1,X2,M1
P00197,4,F0435,73.0,1,-0.23,B1,X2,M1
P00198,9,F0367,57.0,2,-0.54,B1,X2,M1
P00199,4,F1050,59.0,2,1.35,A1,X1,M1
P00200,3,F0864,50.0,1,0.03,A1,X1,M1
P00201,5,F0067,61.0,1,-0.15,B2,X2,M2
P00202,1,F0404,52.0,1,0.19,A2,X1,M2
P00203,11,F0033,48.0,2,0.25,B2,X2,M2
P00204,4,F1022,64.0,1,1.80,A2,X1,M2
P00205,10,F1043,48.0,2,0.35,B1,X2,M1
P00206,1,F0778,75.0,1,-1.12,B1,X2,M1
P00207,2,F0275,68.0,1,-0.79,B2,X2,M2
P00208,7,F0085,68.0,2,1.77,A2,X1,M2
P00209,11,F0860,60.0,2,-0.18,B1,X2,M1
P00210,4,F1019,51.0,2,-0.36,B2,X2,M2
P00211,5,F0317,61.0,2,0.43,A2,X1,M2
P00212,11,F0969,52.0,1,0.52,B2,X2,M2
P00213,3,F0692,69.0,1,-0.83,A1,X1,M1
P00214,1,F1047,75.0,2,-0.80,B2,X2,M2
P00215,1,F0328,58.0,2,1.10,B2,X2,M2
P00216,1,F0447,67.0,2,-0.81,A1,X1,M1
P00217,7,F0106,73.0,2,-1.30,A2,X1,M2
P00218,2,F0818,63.0,2,-0.17,B1,X2,M1
P00219,4,F0216,65.0,1,-0.76,B2,X2,M2
P00220,10,F0984,52.0,1,0.34,A1,X1,M1
P00221,12,F1024,63.0,1,0.41,B2,X2,M2
P00222,8,F0576,68.0,2,1.12,B2,X2,M2
P00223,3,F0342,56.0,2,0.40,A2,X1,M2
P00224,5,F1041,55.0,2,0.33,B2,X2,M2
P00225,7,F0938,62.0,2,-1.13,B1,X2,M1
P00226,4,F0446,63.0,2,-0.87,A2,X1,M2
P00227,12,F0660,62.0,2,0.57,B1,X2,M1
P00228,7,F0221,62.0,1,0.15,A1,X1,M1
P00229,8,F0894,69.0,2,-0.21,A2,X1,M2
P00230,3,F0238,61.0,1,-0.51,A2,X1,M2
P00231,9,F0822,56.0,2,-0.56,A2,X1,M2
P00232,5,F0588,56.0,1,-0.86,B2,X2,M2
P00233,4,F0016,62.0,1,-0.46,B1,X2,M1
P00234,2,F0365,60.0,1,-0.09,B2,X2,M2
P00235,6,F0381,62.0,2,0.60,B1,X2,M1
P00236,7,F0982,71.0,1,-0.88,B1,X2,M1
P00237,1,F0809,51.0,2,0.36,A1,X1,M1
P00238,5,F0844,54.0,1,-1.88,A2,X1,M2
P00239,11,F0324,52.0,2,-0.79,A1,X1,M1
P00240,7,F0729,76.0,2,-0.10,A1,X1,M1
P00241,3,F0212,55.0,2,-0.81,A1,X1,M1
P00242,11,F0077,62.0,1,-0.82,B1,X2,M1
P00243,5,F0456,56.0,1,-0.60,B1,X2,M1
P00244,11,F0945,65.0,2,0.63,A2,X1,M2
P00245,8,F0021,72.0,1,0.29,B2,X2,M2
P00246,6,F0135,52.0,2,1.03,A2,X1,M2
P00247,11,F0934,62.0,2,0.60,A1,X1,M1
P00248,2,F0743,66.0,2,1.10,A1,X1,M1
P00249,2,F0969,62.0,2,-0.00,A2,X1,M2
P00250,8,F0308,64.0,2,-0.15,A1,X1,M1
P00251,8,F0466,60.0,2,-1.07,A1,X1,M1
P00252,5,F0699,65.0,2,-1.64,A1,X1,M1
P00253,2,F0911,64.0,1,1.05,A2,X1,M2
P00254,8,F1048,77.0,1,0.49,A1,X1,M1
P00255,11,F0781,56.0,1,0.30,B1,X2,M1
P00256,6,F0945,59.0,1,-0.05,B2,X2,M2
P00257,11,F0113,74.0,1,-0.29,B1,X2,M1
P00258,11,F0364,65.0,1,0.09,B1,X2,M1
P00259,3,F0971,61.0,1,-0.29,A2,X1,M2
P00260,10,F0232,72.0,2,-0.61,B1,X2,M1
P00261,10,F0418,66.0,1,1.09,A2,X1,M2
P00262,2,F1037,64.0,2,-0.05,B1,X2,M1
P00263,12,F0683,58.0,2,0.89,B2,X2,M2
P00264,11,F1034,62.0,2,2.39,A2,X1,M2
P00265,8,F0697,62.0,2,-1.54,A2,X1,M2
P00266,10,F0597,63.0,1,-0.25,A2,X1,M2
P00267,8,F0905,77.0,2,-1.15,A1,X1,M1
P00268,5,F0114,65.0,2,0.51,B2,X2,M2
P00269,4,F0511,64.0,1,-0.96,A2,X1,M2
P00270,11,F0141,67.0,1,-0.50,A2,X1,M2
P00271,6,F0654,76.0,1,-1.50,B2,X2,M2
P00272,1,F0983,71.0,2,-0.24,A1,X1,M1
P00273,6,F0420,63.0,1,-0.10,B1,X2,M1
P00274,10,F0139,72.0,2,-1.09,A1,X1,M1
P00275,7,F1025,48.0,1,-0.95,A2,X1,M2
P00276,7,F0377,77.0,2,-0.76,A1,X1,M1
P00277,6,F0369,58.0,2,-0.81,B1,X2,M1
P00278,3,F0993,58.0,2,-1.14,B1,X2,M1
P00279,3,F0866,68.0,1,0.34,A1,X1,M1
P00280,3,F0567,53.0,1,0.16,A2,X1,M2
P00281,7,F0306,60.0,1,-0.78,B1,X2,M1
P00282,12,F1018,64.0,1,1.24,A1,X1,M1
P00283,4,F1010,49.0,2,0.21,B1,X2,M1
P00284,10,F0661,62.0,2,0.53,B1,X2,M1
P00285,7,F1046,54.0,1,-0.58,B2,X2,M2
P00286,7,F1014,69.0,1,1.06,B1,X2,M1
P00287,12,F0213,62.0,2,0.86,A1,X1,M1
P00288,5,F0087,57.0,1,0.57,A1,X1,M1
P00289,6,F0236,57.0,2,0.30,A2,X1,M2
P00290,4,F0617,71.0,1,-0.10,B2,X2,M2
P00291,11,F0693,63.0,1,1.08,B2,X2,M2
P00292,9,F0371,71.0,2,-0.11,B2,X2,M2
P00293,1,F1011,59.0,1,1.79,A2,X1,M2
P00294,6,F0124,77.0,2,-0.72,B2,X2,M2
P00295,11,F0723,58.0,2,0.55,B1,X2,M1
P00296,1,F0968,75.0,2,-1.88,B2,X2,M2
P00297,9,F0310,56.0,1,-1.11,B2,X2,M2
P00298,6,F0983,70.0,2,0.13,A1,X1,M1
P00299,5,F0772,70.0,1,-0.03,A1,X1,M1
P00300,7,F0843,67.0,2,0.20,B1,X2,M1
P00301,2,F0898,48.0,2,1.02,A1,X1,M1
P00302,1,F0250,55.0,2,-1.29,A1,X1,M1
P00303,5,F0997,48.0,1,0.39,B2,X2,M2
P00304,11,F0963,73.0,2,-0.95,B1,X2,M1
P00305,7,F1038,60.0,2,-0.30,A1,X1,M1
P00306,5,F0737,62.0,1,0.28,B1,X2,M1
P00307,10,F0776,57.0,2,0.89,A2,X1,M2
P00308,3,F0625,48.0,1,0.93,A2,X1,M2
P00309,4,F0400,58.0,2,-0.73,A2,X1,M2
P00310,5,F0795,70.0,2,-0.05,A1,X1,M1
P00311,3,F0372,53.0,1,0.58,B2,X2,M2
P00312,7,F0953,71.0,1,-0.21,A1,X1,M1
P00313,8,F0380,58.0,1,0.07,A2,X1,M2
P00314,2,F0173,59.0,2,0.03,B2,X2,M2
P00315,8,F0041,59.0,1,1.79,B1,X2,M1
P00316,2,F0237,64.0,2,-1.29,B2,X2,M2
P00317,3,F0972,48.0,1,0.65,B2,X2,M2
P00318,10,F0690,70.0,2,-0.45,A1,X1,M1
P00319,10,F0605,62.0,1,0.17,A2,X1,M2
P00320,7,F0834,51.0,1,-0.17,A2,X1,M2
P00321,7,F0522,72.0,1,-2.21,B2,X2,M2
P00322,3,F0494,66.0,2,-0.22,A1,X1,M1
P00323,10,F0972,64.0,2,0.98,B2,X2,M2
P00324,12,F0535,62.0,2,-0.58,A2,X1,M2
P00325,1,F0362,71.0,1,0.32,B2,X2,M2
P00326,4,F0957,51.0,1,-0.30,A2,X1,M2
P00327,6,F0840,66.0,1,0.92,A1,X1,M1
P00328,5,F0079,77.0,1,-0.70,A2,X1,M2
P00329,3,F0836,68.0,2,-2.54,A2,X1,M2
P00330,8,F0080,57.0,1,0.36,B2,X2,M2
P00331,8,F0920,56.0,2,-1.27,B1,X2,M1
P00332,9,F1046,56.0,1,0.33,A2,X1,M2
P00333,5,F0509,54.0,2,-2.99,A2,X1,M2
P00334,10,F0971,54.0,1,-0.16,A2,X1,M2
P00335,11,F0961,59.0,1,-0.68,A1,X1,M1
P00336,4,F0354,63.0,1,-0.59,A1,X1,M1
P00337,4,F0941,59.0,1,-1.78,B2,X2,M2
P00338,6,F0940,66.0,1,-0.02,B1,X2,M1
P00339,6,F0757,65.0,1,1.13,A2,X1,M2
P00340,8,F0207,71.0,1,-1.90,B2,X2,M2
P00341,4,F0934,57.0,1,0.67,A1,X1,M1
P00342,7,F0635,60.0,2,1.73,B1,X2,M1
P00343,2,F0557,48.0,2,-0.76,B2,X2,M2
P00344,1,F0222,61.0,2,0.17,B1,X2,M1
P00345,1,F0192,61.0,1,-1.43,B2,X2,M2
P00346,6,F0268,69.0,1,1.01,A1,X1,M1
P00347,1,F0158,66.0,2,-1.53,B1,X2,M1
P00348,7,F1000,49.0,1,0.19,A1,X1,M1
P00349,9,F0147,68.0,1,-0.12,B2,X2,M2
P00350,12,F1044,64.0,1,2.86,B2,X2,M2
P00351,2,F0241,65.0,1,-1.06,A2,X1,M2
P00352,11,F0963,66.0,1,-0.38,B1,X2,M1
P00353,5,F0568,52.0,2,-0.05,A2,X1,M2
P00354,1,F0363,57.0,2,1.32,B1,X2,M1
P00355,1,F0454,69.0,2,-0.94,A2,X1,M2
P00356,4,F0470,51.0,1,-1.01,B1,X2,M1
P00357,4,F0540,73.0,1,-1.34,B2,X2,M2
P00358,5,F0074,58.0,1,0.77,B2,X2,M2
P00359,7,F0500,65.0,1,0.57,A1,X1,M1
P00360,7,F0054,60.0,1,-0.19,B1,X2,M1
P00361,3,F1003,64.0,2,-2.24,A2,X1,M2
P00362,9,F0316,63.0,1,-1.24,B1,X2,M1
P00363,11,F0998,53.0,2,1.23,B2,X2,M2
P00364,11,F0923,68.0,2,-1.88,A2,X1,M2
P00365,10,F0973,64.0,2,0.81,B2,X2,M2
P00366,4,F0787,59.0,1,-0.43,B2,X2,M2
P00367,9,F0648,48.0,2,0.37,A1,X1,M1
P00368,7,F0196,65.0,2,-1.23,B1,X2,M1
P00369,9,F0865,77.0,2,-2.75,B1,X2,M1
P00370,4,F0910,73.0,1,1.57,A1,X1,M1
P00371,7,F0455,62.0,2,0.57,A1,X1,M1
P00372,2,F0999,66.0,1,-0.98,A1,X1,M1
P00373,2,F0164,65.0,2,0.55,B2,X2,M2
P00374,11,F0325,56.0,1,2.29,A1,X1,M1
P00375,12,F0770,62.0,2,-0.69,A2,X1,M2
P00376,9,F1019,63.0,2,1.64,A2,X1,M2
P00377,5,F0935,52.0,2,-1.95,A2,X1,M2
P00378,12,F0902,58.0,1,0.26,B2,X2,M2
P00379,4,F0909,59.0,2,1.27,A2,X1,M2
P00380,7,F0194,63.0,1,-0.41,B1,X2,M1
P00381,4,F0799,64.0,1,0.30,B1,X2,M1
P00382,1,F0976,61.0,1,-0.45,A1,X1,M1
P00383,10,F0410,57.0,1,0.06,A1,X1,M1
P00384,3,F0130,68.0,1,-1.70,A1,X1,M1
P00385,11,F0647,77.0,1,-1.09,A1,X1,M1
P00386,3,F0711,55.0,1,1.21,B2,X2,M2
P00387,7,F0952,62.0,2,1.30,B1,X2,M1
P00388,2,F0287,55.0,2,1.02,A2,X1,M2
P00389,4,F0346,58.0,1,-0.86,B1,X2,M1
P00390,3,F0982,64.0,1,0.13,B2,X2,M2
P00391,8,F0008,68.0,1,-0.33,A1,X1,M1
P00392,11,F0145,48.0,1,0.20,A1,X1,M1
P00393,8,F1025,48.0,1,-1.76,B1,X2,M1
P00394,1,F0789,55.0,1,0.13,B2,X2,M2
P00395,1,F0248,57.0,2,-0.32,B1,X2,M1
P00396,2,F0959,61.0,2,1.32,B1,X2,M1
P00397,5,F1031,48.0,2,1.96,B1,X2,M1
P00398,10,F0916,64.0,2,1.12,A1,X1,M1
P00399,9,F0411,55.0,2,-0.49,A2,X1,M2
P00400,3,F0575,48.0,1,-0.53,A2,X1,M2
P00401,4,F0830,57.0,2,-1.40,B1,X2,M1
P00402,8,F0869,66.0,2,-0.91,A1,X1,M1
P00403,4,F0318,63.0,1,1.13,A1,X1,M1
P00404,8,F0319,65.0,2,0.11,B1,X2,M1
P00405,1,F0633,52.0,1,-0.64,A2,X1,M2
P00406,3,F0819,73.0,1,-1.80,A1,X1,M1
P00407,5,F1027,59.0,1,-0.27,B1,X2,M1
P00408,3,F0943,64.0,1,-0.38,A1,X1,M1
P00409,1,F0337,50.0,2,-1.09,A1,X1,M1
P00410,5,F0669,53.0,2,-0.46,A2,X1,M2
P00411,4,F0966,51.0,1,-0.90,A1,X1,M1
P00412,4,F0529,60.0,2,-1.16,A1,X1,M1
P00413,1,F0925,55.0,1,-0.95,B2,X2,M2
P00414,4,F0157,67.0,2,-0.30,A2,X1,M2
P00415,2,F0541,57.0,2,-0.35,B1,X2,M1
P00416,5,F0159,62.0,1,-0.92,B1,X2,M1
P00417,12,F0634,70.0,2,2.32,A1,X1,M1
P00418,10,F0641,59.0,2,-0.10,A1,X1,M1
P00419,3,F0345,65.0,2,2.58,A1,X1,M1
P00420,11,F0954,70.0,1,-1.45,A2,X1,M2
P00421,12,F1044,61.0,1,-0.44,B1,X2,M1
P00422,10,F0185,66.0,2,-1.66,A2,X1,M2
P00423,7,F1015,51.0,2,-0.58,B2,X2,M2
P00424,8,F0263,65.0,2,0.31,B1,X2,M1
P00425,3,F0504,64.0,2,-2.76,B2,X2,M2
P00426,9,F0313,64.0,2,0.48,A2,X1,M2
P00427,10,F0034,57.0,1,1.19,B1,X2,M1
P00428,4,F1008,61.0,1,0.26,A1,X1,M1
P00429,12,F0493,62.0,1,-1.47,A2,X1,M2
P00430,6,F0977,69.0,2,1.77,B1,X2,M1
P00431,5,F0060,52.0,2,-0.84,B2,X2,M2
P00432,11,F0976,62.0,1,0.63,A2,X1,M2
P00433,10,F0307,60.0,1,-0.51,B1,X2,M1
P00434,3,F0824,73.0,2,-0.03,B1,X2,M1
P00435,5,F0146,58.0,2,-0.36,A1,X1,M1
P00436,4,F0441,69.0,2,-0.12,A1,X1,M1
P00437,11,F1002,58.0,1,-0.08,B2,X2,M2
P00438,2,F0933,58.0,1,-0.26,A1,X1,M1
P00439,9,F1001,56.0,1,-0.52,B1,X2,M1
P00440,6,F1005,68.0,1,-0.12,A2,X1,M2
P00441,3,F0242,57.0,2,2.02,B2,X2,M2
P00442,9,F0763,77.0,2,-1.26,A1,X1,M1
P00443,2,F0453,65.0,1,2.15,A2,X1,M2
P00444,10,F0917,69.0,1,-1.43,A2,X1,M2
P00445,11,F0908,68.0,1,0.22,A2,X1,M2
P00446,3,F0269,61.0,1,-2.06,A2,X1,M2
P00447,7,F0913,61.0,2,-0.03,A1,X1,M1
P00448,10,F0921,50.0,1,0.34,A1,X1,M1
P00449,10,F0177,61.0,2,-0.66,A2,X1,M2
P00450,11,F0954,67.0,2,0.59,B2,X2,M2
P00451,10,F0815,62.0,2,1.11,B2,X2,M2
P00452,7,F0180,53.0,1,1.06,B1,X2,M1
P00453,1,F0492,56.0,2,0.55,B1,X2,M1
P00454,10,F1022,58.0,1,-1.21,B2,X2,M2
P00455,2,F0501,68.0,1,-0.97,A1,X1,M1
P00456,9,F0724,68.0,1,-0.18,B2,X2,M2
P00457,1,F0709,58.0,2,0.55,A2,X1,M2
P00458,5,F1007,48.0,2,0.37,A2,X1,M2
P00459,12,F0536,57.0,2,0.33,A2,X1,M2
P00460,1,F0554,73.0,2,2.75,B2,X2,M2
P00461,2,F0120,65.0,1,-0.56,B2,X2,M2
P00462,4,F0081,72.0,1,0.34,A1,X1,M1
P00463,6,F1043,48.0,2,2.30,B2,X2,M2
P00464,7,F0558,55.0,1,0.17,A1,X1,M1
P00465,7,F0997,62.0,2,-0.00,B2,X2,M2
P00466,9,F0753,68.0,2,-0.81,B1,X2,M1
P00467,2,F0142,68.0,2,-0.89,A2,X1,M2
P00468,3,F0452,74.0,2,0.77,B2,X2,M2
P00469,12,F0475,52.0,1,-0.91,A1,X1,M1
P00470,9,F1026,62.0,1,0.64,B1,X2,M1
P00471,9,F0398,66.0,1,-0.64,B2,X2,M2
