pid,lang_t0_z,lang_t1_z,inh_t0_z,inh_t1_z
P00210,-0.52,-0.19,0.10,0.07
P00211,-0.76,0.18,-0.97,0.58
P00212,-0.12,0.28,0.43,-0.59
P00213,-0.15,0.79,0.46,-0.32
P00214,1.08,,0.35,
P00215,-1.59,,-2.61,
P00216,0.42,-0.80,-0.13,0.86
P00217,0.23,-0.34,0.66,0.67
P00218,-0.70,0.70,-0.16,-0.70
P00219,-0.19,-0.83,0.22,1.42
P00220,0.20,-0.17,-1.12,-1.10
P00221,-0.56,-0.57,0.46,-0.40
P00222,0.52,-0.22,1.27,0.01
P00223,-0.60,1.00,-2.34,-1.32
P00224,-0.32,-0.64,-0.40,-0.36
P00225,-0.18,0.58,0.86,1.64
P00226,-0.56,-0.79,-0.63,-0.01
P00227,0.16,1.31,1.75,0.96
P00228,-0.59,-0.61,-0.33,-0.65
P00229,0.61,0.71,-0.38,-1.17
P00230,1.35,1.05,1.70,1.57
P00231,-1.98,-1.25,0.61,1.01
P00232,0.47,,-0.85,
P00233,-0.98,-0.59,-1.55,-2.07
P00234,0.12,0.12,-0.38,0.96
P00235,0.60,0.84,0.55,-0.14
P00236,0.40,-0.71,-0.45,-0.72
P00237,-0.79,-0.34,-1.27,-0.35
P00238,-0.18,0.12,-2.71,-0.31
P00239,0.85,0.32,0.94,1.10
P00240,1.02,1.14,0.45,-1.73
P00241,1.06,0.59,-0.41,-0.65
P00242,0.04,,0.61,
P00243,-0.16,,-0.18,
P00244,2.54,1.90,-0.09,1.11
P00245,0.68,0.88,1.39,0.50
P00246,0.94,0.86,-0.80,-1.49
P00247,0.03,0.33,1.27,1.25
P00248,-0.40,-0.72,0.24,0.13
P00249,1.24,1.03,1.86,1.00
P00250,1.52,1.36,0.08,0.88
P00251,1.67,1.18,0.86,0.89
P00252,-1.51,-1.10,0.28,0.61
P00253,-0.94,-0.79,0.36,-0.83
P00254,1.70,1.67,1.54,1.23
P00255,-0.13,0.69,-1.16,-0.36
P00256,-1.00,,-1.47,
P00257,-1.29,-0.22,1.10,1.11
P00258,0.50,-0.48,1.74,1.06
P00259,-0.99,-1.74,-0.09,0.92
P00260,0.12,0.66,0.48,0.04
P00261,1.69,0.99,0.18,0.73
P00262,0.38,-0.70,-0.03,0.33
P00263,-1.09,-1.00,-1.34,1.20
P00264,0.61,0.07,-0.76,0.31
P00265,0.03,0.79,-0.72,0.30
P00266,0.24,-0.01,0.39,1.02
P00267,-0.14,0.23,-0.19,-0.14
P00268,1.23,1.41,1.92,1.11
P00269,-0.58,-2.10,0.66,1.00
P00270,-0.21,-0.62,0.58,1.23
P00271,0.39,0.37,0.07,-0.37
P00272,-1.30,-1.16,-1.65,-3.33
P00273,-0.11,0.67,0.29,0.81
P00274,0.03,0.85,0.46,0.28
P00275,-0.67,-1.59,-0.65,-0.34
P00276,0.37,0.56,0.54,0.01
P00277,-0.67,-0.54,0.09,-0.31
P00278,-1.67,-0.91,0.37,-0.99
P00279,-0.03,1.91,1.15,0.43
P00280,-0.58,-0.49,-0.62,0.06
P00281,-1.14,-0.44,1.38,1.27
P00282,0.04,0.30,0.02,1.30
P00283,-1.06,-1.35,-1.91,-1.06
P00284,-1.61,0.44,-0.39,-0.88
P00285,0.05,0.17,-1.14,-0.41
P00286,0.24,1.13,0.99,-1.81
P00287,0.48,1.00,0.30,-0.95
P00288,0.21,0.42,-1.14,-0.34
P00289,-0.16,0.33,-1.23,-1.14
P00290,0.65,0.30,0.51,-0.14
P00291,-0.57,-0.07,-0.05,-0.51
P00292,1.25,0.92,-0.49,-0.10
P00293,0.44,0.90,0.45,0.75
P00294,1.47,1.44,-0.01,-0.14
P00295,0.14,0.54,0.78,0.19
P00296,0.33,0.67,1.66,1.41
P00297,-1.49,,-0.72,
P00298,-0.13,0.55,-1.00,-1.76
P00299,0.57,-0.75,1.85,0.81
P00300,-0.96,-0.80,-2.34,-1.52
P00301,0.88,-0.16,0.96,-0.96
P00302,-1.41,,-1.94,
P00303,-0.24,-0.46,0.11,-0.71
P00304,-1.02,-0.85,-0.65,-0.20
P00305,0.84,0.27,0.39,0.05
P00306,0.02,0.78,-1.15,-0.21
P00307,-0.31,-0.49,0.61,0.13
P00308,-0.88,0.56,-2.28,-0.78
P00309,0.07,-0.35,0.20,0.49
P00310,0.84,0.36,0.98,1.43
P00311,0.16,-0.08,0.59,0.51
P00312,1.52,1.20,1.45,0.53
P00313,-0.65,-0.71,-0.95,0.27
P00314,0.09,0.30,-0.01,0.61
P00315,1.60,1.31,0.74,0.70
P00316,1.00,1.91,2.14,0.54
P00317,-1.10,-0.90,0.16,0.81
P00318,-0.22,0.32,-0.90,-0.92
P00319,0.37,-0.04,0.03,0.48
P00320,-0.09,,-1.62,
P00321,-1.06,-0.54,-0.09,0.82
P00322,-0.58,,-0.72,
P00323,1.52,1.55,-0.34,-0.09
P00324,0.10,0.86,-0.88,-0.26
P00325,0.87,-0.10,0.87,2.29
P00326,-1.36,-0.10,-0.10,0.25
P00327,-0.61,-0.58,0.30,1.21
P00328,1.58,0.14,-0.05,0.16
P00329,-0.56,-0.23,1.52,1.21
P00330,0.52,0.27,0.88,0.26
P00331,-0.49,-0.89,1.63,0.23
P00332,-0.20,-0.04,0.22,-0.20
P00333,-2.73,-1.12,1.00,0.66
P00334,0.68,-0.14,0.50,0.88
P00335,0.06,-0.03,-1.29,-2.47
P00336,-0.26,0.58,-0.39,-0.33
P00337,-0.06,,0.02,
P00338,0.83,0.63,-1.02,-0.35
P00339,0.69,0.80,-0.12,0.69
P00340,0.81,,-1.32,
P00341,-1.22,-1.12,-2.20,-3.38
P00342,-0.65,-0.19,0.15,1.65
P00343,-1.41,-0.91,0.04,0.89
P00344,-1.33,-0.45,-1.16,0.32
P00345,-0.29,-0.39,1.10,1.82
P00346,-0.40,-0.75,0.63,-0.52
P00347,0.52,0.36,-0.02,-0.18
P00348,-0.15,0.41,-1.72,-0.55
P00349,-0.16,-0.88,0.97,1.68
P00350,1.34,1.60,0.75,-0.24
P00351,-0.57,,0.02,
P00352,0.11,-0.34,0.01,1.61
P00353,-0.60,0.17,-1.90,-2.94
P00354,0.13,0.20,0.04,0.55
P00355,0.28,1.19,0.38,0.08
P00356,-1.12,-0.38,-0.42,0.17
P00357,0.73,-0.12,0.96,0.29
P00358,-0.30,-0.58,-1.16,-0.94
P00359,-0.97,-2.13,0.92,-0.55
P00360,-0.69,,-0.03,
P00361,0.52,0.36,0.74,1.20
P00362,0.61,0.68,-0.13,0.32
P00363,-0.52,-0.65,-0.66,-1.06
P00364,0.91,0.69,0.58,0.37
P00365,0.38,0.59,0.78,0.41
P00366,0.58,-0.36,-0.17,-0.44
P00367,-1.12,-1.22,-0.23,-0.55
P00368,0.44,-0.33,-0.74,-0.22
P00369,-1.63,-0.76,0.45,-0.15
P00370,1.95,1.82,1.19,0.35
P00371,-1.22,0.21,-0.45,-1.59
P00372,-0.83,-0.83,1.45,0.24
P00373,1.00,0.32,1.50,0.29
P00374,0.39,0.86,1.05,1.72
P00375,0.76,-0.09,0.64,1.05
P00376,1.14,0.96,-0.24,1.63
P00377,-0.84,-0.52,-0.78,0.33
P00378,-0.56,0.28,-1.14,-0.05
P00379,-1.46,-1.30,-1.05,-0.61
P00380,1.98,2.07,0.01,-0.97
P00381,-0.49,-0.11,1.71,0.98
P00382,-1.21,-0.29,-0.02,0.54
P00383,-0.71,-0.08,-1.45,0.36
P00384,-0.56,-0.28,-0.37,-1.19
P00385,1.28,1.04,0.50,-0.45
P00386,0.29,1.13,1.27,0.56
P00387,2.04,1.00,-0.66,0.20
P00388,-0.32,0.10,-1.58,-1.37
P00389,-1.02,-0.20,-0.11,-0.04
P00390,0.54,0.23,0.47,0.49
P00391,0.85,-0.24,0.08,0.12
P00392,-0.34,-0.30,-1.12,0.93
P00393,-1.91,,-1.38,
P00394,-0.59,0.74,-1.51,-0.88
P00395,-0.52,-0.28,0.67,0.72
P00396,0.47,-0.36,-0.03,-0.89
P00397,0.12,0.19,0.49,0.98
P00398,-0.42,-0.90,0.20,-1.10
P00399,-0.28,0.74,-1.35,-1.30
P00400,-0.94,,-1.49,
P00401,-1.20,-0.17,-0.54,-0.35
P00402,-0.65,0.20,-0.42,-1.60
P00403,0.88,1.11,0.25,0.60
P00404,0.53,0.20,0.10,1.58
P00405,-1.00,,-0.94,
P00406,1.44,1.19,-0.30,-0.36
P00407,1.19,0.22,0.77,-1.12
P00408,1.16,0.47,0.26,1.06
P00409,-2.31,-1.55,-1.97,-0.92
P00410,0.41,0.60,-0.10,0.42
P00411,-0.57,1.13,-0.42,-0.20
P00412,-1.95,,-2.61,
P00413,-0.77,1.13,-0.66,-1.57
P00414,0.27,1.02,-0.78,-1.55
P00415,-1.21,-1.79,-0.43,0.09
P00416,-0.85,0.03,-0.06,-0.89
P00417,-0.01,-0.01,-0.00,-0.46
P00418,-0.00,,-1.36,
P00419,0.76,2.18,0.90,-0.59
P00420,-0.21,,0.25,
P00421,-0.29,-1.10,-0.75,-1.22
P00422,0.40,0.40,-0.47,-2.25
P00423,-1.09,-0.31,0.37,-1.36
P00424,-0.26,-0.20,1.00,-0.45
P00425,-0.62,0.01,0.90,0.81
P00426,0.12,-0.50,0.90,0.27
P00427,-0.50,0.02,0.07,0.42
P00428,1.39,1.17,0.95,0.22
P00429,0.62,1.68,-1.43,-1.14
P00430,1.66,1.53,0.41,-0.08
P00431,-1.77,-1.13,-2.00,-0.04
P00432,-2.35,-1.12,-1.77,0.32
P00433,-1.92,-0.98,-0.14,-0.43
P00434,1.36,1.60,0.97,1.27
P00435,0.73,1.31,1.17,-0.17
P00436,-0.83,-0.35,-0.20,-0.69
P00437,0.25,-1.84,0.59,-0.34
P00438,-0.22,-1.04,0.15,-0.37
P00439,-0.63,1.04,-0.44,-0.79
P00440,-0.33,0.47,-1.16,0.33
P00441,1.38,1.41,1.46,-0.59
P00442,-0.61,0.48,0.07,-1.95
P00443,1.32,1.39,1.71,1.03
P00444,-0.16,-0.23,-0.18,0.67
P00445,1.41,0.42,0.70,0.12
P00446,-1.65,-0.23,1.41,1.41
P00447,0.33,0.40,2.06,1.36
P00448,-1.75,-0.12,-1.29,0.49
P00449,-0.04,1.81,-0.34,1.31
P00450,0.10,0.52,-1.08,-1.60
P00451,0.64,0.15,-0.56,-0.79
P00452,0.10,0.53,-0.59,-0.23
P00453,-1.87,-1.19,-0.17,-0.72
P00454,0.56,,-0.24,
P00455,-0.90,-1.44,0.90,0.11
P00456,0.34,0.07,0.11,0.56
P00457,0.25,0.20,-0.84,0.43
P00458,-0.86,0.16,0.21,-0.47
P00459,0.39,0.73,0.03,0.23
P00460,1.34,0.80,0.47,0.67
P00461,-0.40,0.03,-1.29,-0.81
P00462,-0.24,-0.50,0.61,-0.28
P00463,-0.23,-0.63,-0.03,0.18
P00464,-0.61,-0.74,-0.66,-1.32
P00465,-0.03,0.05,-0.44,0.43
P00466,0.28,-0.21,-0.10,0.22
P00467,-0.16,0.97,-0.16,-0.32
P00468,0.10,0.58,-0.37,-0.04
P00469,0.53,1.75,-0.47,0.46
P00470,0.27,-0.38,-0.47,-0.97
P00471,0.88,0.05,-0.58,0.36
P00472,0.08,0.18,0.46,-0.07
P00473,1.63,0.99,1.63,1.59
P00474,0.81,0.68,1.89,0.14
P00475,0.88,1.64,0.74,1.58
P00476,-1.06,-0.41,-2.64,-1.84
P00477,-1.74,-0.96,-1.07,-1.36
P00478,-0.06,0.32,-0.56,0.23
P00479,0.72,0.77,-0.38,-1.20
P00480,-1.43,-1.68,-0.10,-0.17
P00481,0.67,,0.07,
P00482,0.05,-1.72,0.64,-0.45
P00483,-0.48,,-0.24,
P00484,0.28,0.20,0.30,1.13
P00485,-0.77,,-0.83,
P00486,-0.69,-0.10,-0.84,-0.06
P00487,-0.61,-0.03,-0.12,0.98
P00488,0.31,0.84,-0.47,0.24
P00489,0.19,0.04,0.55,-0.28
P00490,0.03,,-0.26,
P00491,0.98,0.24,0.19,0.08
P00492,-1.07,-0.13,1.40,1.53
P00493,-0.99,-1.59,-1.23,-1.31
P00494,1.68,1.97,1.79,2.13
P00495,-0.17,-0.62,-0.88,-0.68
P00496,1.31,1.19,0.38,-0.01
P00497,1.69,,-1.31,
P00498,0.21,-0.65,-0.76,-0.55
P00499,1.53,0.17,0.52,1.14
P00500,1.58,1.59,1.28,0.08
P00501,0.41,-0.09,0.50,0.44
P00502,-0.27,-0.15,-0.61,-0.70
P00503,0.57,0.62,0.84,1.59
P00504,0.79,0.55,0.03,-0.62
P00505,0.05,-0.48,-0.07,0.79
P00506,0.49,0.14,-0.33,-0.27
P00507,-0.58,-0.03,0.34,1.13
P00508,0.10,1.33,-0.21,-0.65
P00509,0.51,0.58,0.64,0.61
P00510,-1.23,-0.78,0.02,0.90
P00511,-0.14,-1.20,-1.46,-1.41
P00512,0.21,0.91,2.13,1.33
P00513,-0.19,0.27,0.27,0.43
P00514,-0.12,-0.32,0.55,-1.39
P00515,1.36,0.34,0.80,-1.02
P00516,-0.54,0.78,-0.88,-0.48
P00517,2.26,1.84,2.44,0.21
P00518,-0.47,0.79,-0.83,-0.96
P00519,0.14,-0.31,1.41,2.47
P00520,0.44,0.25,-0.97,-0.77
P00521,-0.24,0.03,1.21,-0.45
P00522,0.86,0.96,-0.31,0.44
P00523,0.04,0.56,-1.42,-2.56
P00524,1.91,1.40,2.14,1.32
P00525,0.01,-0.10,0.36,-0.61
P00526,1.10,0.11,0.87,-0.23
P00527,-0.55,-1.46,-0.59,1.28
P00528,-0.18,-0.09,-1.54,-1.50
P00529,0.26,0.44,2.58,0.31
P00530,1.72,0.62,0.35,0.42
P00531,-0.47,0.09,-0.12,0.37
P00532,1.14,1.53,0.84,0.34
P00533,-0.35,-0.53,0.85,-0.09
P00534,-1.59,-1.61,-1.32,-1.36
P00535,1.00,0.73,-0.20,-0.15
P00536,0.19,0.25,-0.31,-0.10
P00537,-0.02,1.16,1.22,0.15
P00538,-0.45,,0.32,
P00539,1.17,-0.24,1.30,0.72
P00540,1.07,0.49,0.51,0.73
P00541,0.78,0.90,0.56,0.28
P00542,-0.98,-0.78,-0.51,0.80
P00543,-1.96,-1.04,-0.03,-0.17
P00544,-0.84,-1.00,-0.42,0.15
P00545,0.87,0.82,0.02,1.20
P00546,1.38,,-0.63,
P00547,-0.55,-0.96,1.14,1.16
P00548,0.06,1.01,-0.86,-0.73
P00549,0.18,0.97,-0.19,-0.45
P00550,-1.49,-2.19,-1.67,-1.29
P00551,0.14,0.47,-1.09,-0.89
P00552,1.26,0.96,0.83,-0.60
P00553,1.37,1.75,-0.93,-0.71
P00554,0.71,0.48,2.18,1.12
P00555,-1.43,-1.11,0.58,0.09
P00556,0.67,,1.79,
P00557,0.16,0.49,0.20,-0.15
P00558,0.73,0.86,1.11,-0.15
P00559,0.63,0.60,-0.46,0.75
P00560,-0.48,-0.56,0.36,-0.71
P00561,0.96,0.53,1.62,1.11
P00562,1.20,1.50,0.20,-0.32
P00563,-0.09,-0.51,0.46,0.21
P00564,-1.87,-1.33,0.56,0.38
P00565,-1.15,0.13,-0.07,0.35
P00566,0.25,-0.47,-0.57,-0.47
P00567,0.79,1.04,0.24,-1.18
P00568,-0.35,-0.23,1.69,0.18
P00569,0.56,0.71,-2.13,-1.29
P00570,-0.88,-0.27,-0.96,0.05
P00571,-0.54,0.99,0.87,0.40
P00572,-0.86,-0.05,0.68,0.30
P00573,0.62,0.02,-0.70,-0.58
P00574,-0.35,-0.10,0.37,0.92
P00575,0.77,1.64,1.16,-1.08
P00576,-1.87,,-1.27,
P00577,-0.15,1.10,1.40,0.95
P00578,-0.02,0.15,-0.67,0.10
P00579,-0.49,-0.88,-1.09,-0.21
P00580,0.53,-0.64,-0.78,-0.37
P00581,-0.79,-0.95,-0.31,-0.12
P00582,-0.81,-1.74,-0.66,-0.89
P00583,1.49,-0.02,-0.34,1.82
P00584,0.83,0.87,-0.34,-0.36
P00585,-0.14,-0.65,0.14,1.06
P00586,-0.27,-0.64,-1.52,-1.65
P00587,-1.27,-0.86,-1.77,-1.10
P00588,2.01,1.82,0.24,0.96
P00589,1.15,0.79,0.26,0.25
P00590,-0.22,0.00,0.03,0.79
P00591,0.27,0.45,0.44,0.26
P00592,0.03,-0.01,-0.67,-0.84
P00593,-0.93,0.89,-0.09,-1.29
P00594,2.15,1.59,2.02,1.75
P00595,-1.54,-0.11,-1.03,-1.02
P00596,-0.66,0.20,1.33,-0.41
P00597,-0.53,0.41,-0.83,-0.70
P00598,0.90,1.47,1.03,1.23
P00599,-0.49,0.36,-0.34,-0.86
P00600,-0.89,-0.53,-0.96,0.30
P00601,-0.57,-0.87,-0.52,-0.10
P00602,-1.31,-0.78,-1.59,-1.28
P00603,0.72,1.75,1.21,-0.22
P00604,-1.91,,-1.40,
P00605,0.06,-0.63,-1.28,-1.85
P00606,-0.46,-0.83,-0.67,0.92
P00607,-2.34,-1.87,-1.56,-0.50
P00608,0.65,1.04,-0.16,1.26
P00609,-1.69,-1.33,0.88,0.60
P00610,-0.23,-0.20,0.53,-0.14
P00611,-0.06,0.10,-0.96,1.14
P00612,0.05,-0.46,-1.17,-1.05
P00613,1.09,0.34,0.98,0.30
P00614,0.17,-1.34,0.44,-0.62
P00615,0.27,0.86,-0.25,-0.49
P00616,-0.78,-0.13,-0.17,-1.23
P00617,-0.46,-1.13,-1.92,-0.77
P00618,0.18,-0.66,1.36,1.19
P00619,0.87,1.10,-0.53,-0.68
P00620,0.32,0.32,1.53,-0.87
P00621,-1.04,-0.47,-2.32,-1.40
P00622,-0.63,-0.56,-1.17,0.63
P00623,-1.11,,-1.17,
P00624,0.74,1.19,-0.33,0.49
P00625,0.64,0.21,-1.58,-0.32
P00626,0.26,0.19,1.30,2.37
P00627,-0.30,,1.08,
P00628,-1.65,-0.57,-0.15,-0.99
P00629,-1.75,-1.25,-0.92,-0.00
P00630,1.43,1.21,-0.72,-2.25
P00631,0.99,0.85,0.74,-0.19
P00632,-0.16,0.73,-1.25,0.20
P00633,0.05,0.18,-0.63,-1.67
P00634,-0.51,0.08,-0.90,-0.54
P00635,-0.80,-0.88,0.40,0.18
P00636,-0.72,0.42,0.34,0.47
P00637,1.54,,0.56,
P00638,-0.99,-0.30,0.18,0.99
P00639,1.54,1.30,0.73,1.27
P00640,-0.03,0.18,0.87,0.83
P00641,-0.18,-0.18,-0.59,-0.74
P00642,2.46,2.30,0.88,0.63
P00643,-0.30,-0.48,-0.70,0.62
P00644,-0.41,-0.06,-1.23,-1.10
P00645,-0.71,-0.24,-0.65,0.16
P00646,0.60,0.09,0.20,1.13
P00647,1.23,1.25,-0.04,-0.98
P00648,0.94,0.35,0.15,0.71
P00649,0.04,0.19,0.36,0.01
