pid,msu_t0,msu_t1,coop_ms_t0,coop_ms_t1,share_t0,share_t1
P00207,0,0.0,0.110,0.090,0.454,0.340
P00208,2,3.0,0.394,0.431,0.058,0.097
P00209,1,2.0,0.000,0.187,0.468,0.382
P00210,2,4.0,0.000,0.000,0.460,0.327
P00211,2,2.0,0.000,0.000,0.208,0.222
P00212,1,3.0,0.000,0.000,0.460,0.639
P00213,1,3.0,0.000,0.360,0.724,0.757
P00214,6,,0.587,,0.089,
P00215,0,,0.000,,0.170,
P00216,3,8.0,0.000,0.178,0.147,0.184
P00217,1,2.0,0.000,0.008,0.224,0.162
P00218,0,4.0,0.000,0.091,0.381,0.604
P00219,1,1.0,0.000,0.000,0.182,0.000
P00220,1,7.0,0.000,0.136,0.290,0.167
P00221,4,6.0,0.000,0.000,0.392,0.547
P00222,1,2.0,0.397,0.621,0.386,0.275
P00223,1,4.0,0.000,0.108,0.032,0.104
P00224,4,5.0,0.000,0.000,0.321,0.502
P00225,2,4.0,0.000,0.062,0.408,0.504
P00226,0,1.0,0.000,0.000,0.044,0.000
P00227,1,4.0,0.000,0.284,0.294,0.341
P00228,2,6.0,0.000,0.194,0.492,0.476
P00229,2,4.0,0.000,0.052,0.539,0.433
P00230,2,2.0,0.627,0.584,0.441,0.313
P00231,0,1.0,0.000,0.293,0.435,0.539
P00232,1,,0.000,,0.132,
P00233,2,9.0,0.000,0.064,0.254,0.248
P00234,4,4.0,0.000,0.075,0.000,0.000
P00235,4,9.0,0.465,0.629,0.481,0.535
P00236,1,8.0,0.000,0.231,0.556,0.525
P00237,2,5.0,0.000,0.030,0.266,0.086
P00238,0,1.0,0.000,0.015,0.287,0.442
P00239,2,5.0,0.467,0.409,0.541,0.513
P00240,0,2.0,0.615,0.663,0.597,0.690
P00241,2,8.0,0.234,0.274,0.178,0.263
P00242,0,,0.000,,0.559,
P00243,2,,0.000,,0.065,
P00244,3,4.0,1.000,0.871,0.495,0.528
P00245,2,2.0,0.743,0.704,0.735,0.832
P00246,1,3.0,0.240,0.269,0.227,0.271
P00247,5,7.0,0.519,0.726,0.308,0.176
P00248,4,6.0,0.000,0.017,0.341,0.428
P00249,4,5.0,0.462,0.429,0.754,0.724
P00250,4,12.0,0.978,1.000,0.342,0.218
P00251,0,4.0,0.646,0.777,0.451,0.535
P00252,2,4.0,0.000,0.121,0.100,0.049
P00253,1,3.0,0.010,0.000,0.480,0.343
P00254,2,10.0,1.000,1.000,0.741,0.731
P00255,5,10.0,0.264,0.178,0.672,0.704
P00256,1,,0.000,,0.237,
P00257,0,6.0,0.000,0.125,0.299,0.372
P00258,3,9.0,0.256,0.484,0.356,0.464
P00259,0,0.0,0.000,0.101,0.334,0.197
P00260,2,6.0,0.203,0.307,0.535,0.705
P00261,3,5.0,0.753,0.551,0.496,0.530
P00262,0,4.0,0.000,0.110,0.248,0.211
P00263,1,1.0,0.000,0.207,0.362,0.410
P00264,4,5.0,0.328,0.282,0.514,0.354
P00265,1,1.0,0.427,0.485,0.780,1.000
P00266,2,2.0,0.002,0.124,0.513,0.472
P00267,3,9.0,0.507,0.447,0.443,0.613
P00268,1,2.0,0.251,0.242,0.303,0.278
P00269,3,4.0,0.000,0.041,0.342,0.576
P00270,0,1.0,0.272,0.303,0.733,0.619
P00271,2,5.0,0.000,0.000,0.568,0.495
P00272,1,3.0,0.000,0.000,0.277,0.508
P00273,0,2.0,0.000,0.330,0.456,0.466
P00274,6,10.0,0.000,0.000,0.485,0.316
P00275,0,0.0,0.000,0.000,0.299,0.210
P00276,2,8.0,0.284,0.211,0.627,0.622
P00277,7,12.0,0.000,0.000,0.464,0.533
P00278,0,5.0,0.000,0.176,0.230,0.330
P00279,5,5.0,0.302,0.558,0.769,0.824
P00280,3,3.0,0.000,0.194,0.000,0.000
P00281,2,5.0,0.000,0.019,0.443,0.391
P00282,3,9.0,0.000,0.000,0.263,0.106
P00283,0,3.0,0.000,0.202,0.387,0.585
P00284,1,4.0,0.000,0.000,0.309,0.410
P00285,0,0.0,0.000,0.181,0.541,0.572
P00286,2,7.0,0.000,0.188,0.168,0.064
P00287,1,6.0,0.077,0.181,0.384,0.376
P00288,2,6.0,0.000,0.000,0.389,0.442
P00289,2,4.0,0.000,0.000,0.414,0.345
P00290,2,3.0,0.439,0.543,0.213,0.190
P00291,2,4.0,0.165,0.000,0.324,0.347
P00292,3,4.0,0.310,0.472,0.637,0.595
P00293,1,2.0,0.000,0.000,0.500,0.466
P00294,1,2.0,0.748,0.798,0.579,0.680
P00295,3,11.0,0.000,0.037,0.260,0.397
P00296,7,8.0,0.673,0.749,0.572,0.557
P00297,1,,0.000,,0.099,
P00298,2,7.0,0.025,0.324,0.455,0.566
P00299,2,6.0,0.160,0.096,0.385,0.283
P00300,2,3.0,0.000,0.000,0.490,0.628
P00301,3,5.0,0.557,0.462,0.452,0.433
P00302,2,,0.000,,0.126,
P00303,3,4.0,0.000,0.000,0.064,0.000
P00304,1,5.0,0.000,0.000,0.270,0.364
P00305,3,3.0,0.168,0.277,0.442,0.326
P00306,3,7.0,0.000,0.155,0.128,0.197
P00307,1,1.0,0.096,0.282,0.656,0.944
P00308,2,2.0,0.000,0.000,0.379,0.711
P00309,0,1.0,0.193,0.371,0.252,0.210
P00310,3,5.0,0.000,0.173,0.154,0.274
P00311,3,3.0,0.455,0.424,0.423,0.336
P00312,2,2.0,1.000,0.994,0.499,0.571
P00313,3,3.0,0.000,0.000,0.451,0.444
P00314,2,2.0,0.000,0.000,0.086,0.117
P00315,0,9.0,0.548,0.986,0.360,0.333
P00316,3,6.0,0.746,0.880,0.577,0.516
P00317,1,2.0,0.000,0.008,0.335,0.370
P00318,2,7.0,0.000,0.000,0.295,0.111
P00319,2,2.0,0.022,0.192,0.511,0.401
P00320,3,,0.000,,0.367,
P00321,1,2.0,0.000,0.000,0.127,0.088
P00322,2,,0.000,,0.129,
P00323,2,3.0,0.125,0.098,0.374,0.475
P00324,2,4.0,0.315,0.466,0.345,0.345
P00325,0,1.0,0.123,0.049,0.252,0.138
P00326,1,1.0,0.219,0.213,0.260,0.327
P00327,2,2.0,0.112,0.168,0.445,0.639
P00328,1,2.0,0.343,0.220,0.284,0.366
P00329,1,4.0,0.000,0.000,0.205,0.051
P00330,3,4.0,0.951,1.000,0.883,0.841
P00331,1,3.0,0.000,0.216,0.588,0.597
P00332,1,2.0,0.005,0.083,0.260,0.206
P00333,0,1.0,0.000,0.110,0.221,0.230
P00334,3,6.0,0.408,0.351,0.646,0.792
P00335,1,5.0,0.000,0.125,0.302,0.282
P00336,4,9.0,0.341,0.452,0.571,0.569
P00337,4,,0.046,,0.203,
P00338,2,4.0,0.462,0.495,0.391,0.233
P00339,1,1.0,0.359,0.245,0.403,0.279
P00340,3,,0.295,,0.687,
P00341,0,4.0,0.000,0.010,0.193,0.071
P00342,3,3.0,0.000,0.000,0.338,0.275
P00343,2,2.0,0.000,0.039,0.049,0.000
P00344,1,5.0,0.000,0.212,0.208,0.075
P00345,2,3.0,0.000,0.134,0.316,0.373
P00346,3,6.0,0.000,0.369,0.580,0.456
P00347,1,3.0,0.000,0.248,0.174,0.249
P00348,2,4.0,0.000,0.000,0.335,0.446
P00349,2,3.0,0.000,0.000,0.454,0.588
P00350,4,6.0,0.767,0.720,0.733,0.668
P00351,3,,0.005,,0.324,
P00352,4,13.0,0.430,0.457,0.428,0.515
P00353,0,0.0,0.000,0.003,0.319,0.490
P00354,2,6.0,0.000,0.000,0.362,0.471
P00355,2,5.0,0.325,0.369,0.266,0.172
P00356,0,7.0,0.000,0.117,0.450,0.547
P00357,3,3.0,0.502,0.677,0.493,0.481
P00358,1,4.0,0.000,0.119,0.438,0.330
P00359,0,3.0,0.000,0.161,0.270,0.330
P00360,3,,0.000,,0.466,
P00361,1,1.0,0.000,0.175,0.539,0.510
P00362,3,7.0,0.401,0.269,0.544,0.538
P00363,3,3.0,0.040,0.230,0.235,0.191
P00364,3,3.0,0.405,0.329,0.443,0.448
P00365,1,2.0,0.000,0.000,0.318,0.253
P00366,5,7.0,0.000,0.083,0.279,0.421
P00367,2,4.0,0.000,0.042,0.428,0.240
P00368,1,9.0,0.184,0.226,0.437,0.642
P00369,1,5.0,0.000,0.201,0.437,0.435
P00370,2,7.0,1.000,0.947,0.611,0.649
P00371,0,3.0,0.000,0.000,0.085,0.118
P00372,0,6.0,0.000,0.000,0.500,0.547
P00373,4,5.0,0.382,0.334,0.642,0.801
P00374,2,9.0,0.727,0.833,0.694,0.633
P00375,4,6.0,0.151,0.124,0.288,0.450
P00376,4,4.0,1.000,1.000,0.604,0.599
P00377,1,1.0,0.000,0.053,0.375,0.354
P00378,0,2.0,0.000,0.055,0.240,0.244
P00379,4,5.0,0.000,0.000,0.397,0.292
P00380,4,8.0,0.775,0.829,0.528,0.165
P00381,0,8.0,0.000,0.100,0.476,0.814
P00382,0,2.0,0.000,0.178,0.197,0.268
P00383,2,5.0,0.000,0.159,0.242,0.294
P00384,2,5.0,0.146,0.226,0.450,0.355
P00385,1,4.0,0.541,0.727,0.446,0.586
P00386,1,2.0,0.257,0.167,0.450,0.539
P00387,2,6.0,0.431,0.427,0.152,0.145
P00388,0,0.0,0.000,0.033,0.716,0.843
P00389,2,8.0,0.000,0.098,0.495,0.480
P00390,3,3.0,0.774,0.843,0.539,0.815
P00391,1,3.0,0.168,0.105,0.123,0.290
P00392,1,6.0,0.000,0.051,0.181,0.451
P00393,2,,0.000,,0.111,
P00394,1,4.0,0.000,0.000,0.733,0.831
P00395,4,7.0,0.000,0.047,0.178,0.306
P00396,3,8.0,0.327,0.293,0.584,0.508
P00397,3,9.0,0.086,0.231,0.204,0.342
P00398,1,7.0,0.014,0.318,0.402,0.361
P00399,2,4.0,0.000,0.056,0.360,0.541
P00400,0,,0.000,,0.098,
P00401,2,3.0,0.000,0.000,0.320,0.416
P00402,3,8.0,0.000,0.105,0.109,0.271
P00403,1,5.0,0.647,0.620,0.435,0.486
P00404,3,6.0,0.373,0.587,0.577,0.701
P00405,1,,0.000,,0.397,
P00406,3,5.0,0.668,0.555,0.587,0.611
P00407,6,15.0,0.685,0.575,0.352,0.372
P00408,2,4.0,0.235,0.369,0.305,0.436
P00409,0,7.0,0.000,0.106,0.500,0.454
P00410,0,1.0,0.296,0.384,0.285,0.201
P00411,1,8.0,0.037,0.199,0.858,0.967
P00412,0,,0.000,,0.148,
P00413,1,3.0,0.000,0.000,0.323,0.272
P00414,4,5.0,0.106,0.215,0.549,0.359
P00415,0,5.0,0.000,0.000,0.376,0.488
P00416,0,5.0,0.000,0.012,0.321,0.298
P00417,1,4.0,0.343,0.403,0.664,0.669
P00418,3,,0.000,,0.716,
P00419,3,6.0,0.502,0.489,0.667,0.750
P00420,1,,0.000,,0.353,
P00421,1,7.0,0.000,0.000,0.437,0.513
P00422,1,3.0,0.478,0.473,0.155,0.116
P00423,0,3.0,0.000,0.000,0.125,0.224
P00424,0,2.0,0.374,0.473,0.415,0.329
P00425,2,3.0,0.000,0.000,0.174,0.205
P00426,1,3.0,0.000,0.097,0.561,0.536
P00427,2,4.0,0.070,0.140,0.424,0.485
P00428,3,5.0,0.000,0.041,0.459,0.483
P00429,2,3.0,0.359,0.195,0.531,0.316
P00430,7,12.0,0.441,0.670,0.225,0.301
P00431,0,3.0,0.000,0.000,0.257,0.294
P00432,4,6.0,0.000,0.000,0.308,0.305
P00433,0,2.0,0.000,0.075,0.116,0.099
P00434,1,3.0,0.631,0.788,0.426,0.730
P00435,1,4.0,0.021,0.354,0.484,0.488
P00436,2,5.0,0.000,0.016,0.267,0.213
P00437,2,6.0,0.291,0.179,0.326,0.398
P00438,2,6.0,0.073,0.088,0.327,0.279
P00439,4,8.0,0.000,0.083,0.196,0.000
P00440,2,5.0,0.000,0.000,0.546,0.625
P00441,3,4.0,1.000,0.809,0.646,0.418
P00442,4,6.0,0.000,0.198,0.380,0.359
P00443,1,4.0,0.380,0.552,0.317,0.246
P00444,1,2.0,0.000,0.000,0.576,0.641
P00445,4,5.0,0.521,0.442,0.588,0.624
P00446,1,4.0,0.000,0.000,0.381,0.262
P00447,2,4.0,0.577,0.710,0.339,0.314
P00448,2,12.0,0.000,0.029,0.598,0.689
P00449,4,7.0,0.334,0.221,0.549,0.555
P00450,2,2.0,0.000,0.000,0.318,0.391
P00451,2,2.0,0.038,0.000,0.175,0.229
P00452,1,3.0,0.489,0.739,0.451,0.456
P00453,2,3.0,0.000,0.011,0.508,0.497
P00454,1,,0.004,,0.207,
P00455,3,7.0,0.000,0.036,0.437,0.611
P00456,1,1.0,0.037,0.083,0.500,0.484
P00457,2,3.0,0.000,0.090,0.080,0.198
P00458,1,1.0,0.000,0.000,0.501,0.580
P00459,3,5.0,0.100,0.258,0.190,0.382
P00460,2,2.0,0.380,0.263,0.120,0.029
P00461,2,3.0,0.000,0.000,0.478,0.551
P00462,3,4.0,0.000,0.183,0.242,0.201
P00463,3,4.0,0.072,0.039,0.306,0.280
P00464,3,6.0,0.000,0.134,0.339,0.330
P00465,2,3.0,0.000,0.303,0.197,0.204
P00466,4,8.0,0.131,0.322,0.518,0.709
P00467,1,2.0,0.000,0.000,0.356,0.395
P00468,2,3.0,0.202,0.147,0.211,0.327
P00469,3,7.0,0.187,0.310,0.525,0.334
P00470,3,7.0,0.000,0.061,0.442,0.502
P00471,2,3.0,0.001,0.021,0.270,0.024
P00472,1,1.0,0.000,0.000,0.618,0.620
P00473,1,4.0,0.886,0.976,0.714,0.830
P00474,1,1.0,0.839,0.883,0.650,0.741
P00475,1,5.0,0.000,0.000,0.206,0.247
P00476,1,1.0,0.000,0.052,0.017,0.000
P00477,1,1.0,0.000,0.000,0.222,0.362
P00478,3,3.0,0.024,0.142,0.651,0.445
P00479,3,9.0,0.437,0.594,0.285,0.334
P00480,0,2.0,0.000,0.000,0.298,0.346
P00481,2,,0.172,,0.259,
P00482,0,1.0,0.212,0.224,0.565,0.621
P00483,1,,0.000,,0.105,
P00484,3,5.0,0.111,0.121,0.482,0.651
P00485,0,,0.000,,0.629,
P00486,2,2.0,0.000,0.000,0.305,0.270
P00487,2,5.0,0.000,0.147,0.338,0.354
P00488,3,8.0,0.000,0.329,0.423,0.293
P00489,3,3.0,0.430,0.367,0.475,0.257
P00490,0,,0.000,,0.325,
P00491,3,7.0,0.573,0.652,0.728,0.417
P00492,4,7.0,0.000,0.089,0.300,0.214
P00493,1,2.0,0.000,0.146,0.315,0.278
P00494,2,5.0,0.934,0.810,0.497,0.465
P00495,2,7.0,0.000,0.134,0.076,0.111
P00496,4,5.0,0.754,0.705,0.600,0.630
P00497,4,,0.207,,0.197,
P00498,5,6.0,0.000,0.067,0.322,0.264
P00499,2,4.0,0.923,0.934,0.407,0.492
P00500,3,5.0,0.655,0.631,0.369,0.308
P00501,2,2.0,0.000,0.000,0.348,0.372
P00502,3,5.0,0.000,0.095,0.489,0.613
P00503,2,6.0,0.194,0.430,0.699,0.605
P00504,3,4.0,0.227,0.350,0.485,0.372
P00505,0,8.0,0.103,0.333,0.415,0.533
P00506,4,7.0,0.082,0.000,0.343,0.365
P00507,1,4.0,0.249,0.374,0.349,0.726
P00508,3,3.0,0.784,0.953,0.319,0.093
P00509,3,4.0,0.458,0.657,0.181,0.133
P00510,2,3.0,0.000,0.000,0.741,0.597
P00511,1,1.0,0.000,0.000,0.344,0.436
P00512,2,3.0,0.133,0.125,0.493,0.597
P00513,3,8.0,0.264,0.144,0.727,0.824
P00514,3,4.0,0.000,0.000,0.633,0.542
P00515,3,4.0,0.444,0.413,0.581,0.652
P00516,2,4.0,0.000,0.205,0.377,0.628
P00517,3,4.0,0.888,0.883,0.579,0.310
P00518,1,8.0,0.229,0.293,0.391,0.352
P00519,3,8.0,0.325,0.539,0.809,0.760
P00520,0,1.0,0.058,0.020,0.386,0.577
P00521,3,4.0,0.000,0.000,0.414,0.471
P00522,6,10.0,0.619,0.692,0.893,1.000
P00523,1,8.0,0.000,0.342,0.307,0.424
P00524,6,7.0,1.000,1.000,0.571,0.648
P00525,3,4.0,0.000,0.071,0.259,0.335
P00526,0,4.0,0.551,0.519,0.412,0.607
P00527,3,4.0,0.019,0.153,0.728,0.899
P00528,0,0.0,0.000,0.014,0.276,0.454
P00529,2,6.0,0.313,0.437,0.664,0.735
P00530,3,6.0,0.542,0.568,0.452,0.486
P00531,1,3.0,0.000,0.242,0.351,0.344
P00532,1,2.0,0.374,0.263,0.229,0.221
P00533,1,5.0,0.000,0.073,0.253,0.385
P00534,0,0.0,0.000,0.045,0.593,0.499
P00535,4,4.0,0.349,0.141,0.216,0.122
P00536,0,3.0,0.267,0.553,0.589,0.539
P00537,1,4.0,0.722,0.776,0.626,0.598
P00538,1,,0.000,,0.187,
P00539,3,7.0,0.219,0.326,0.429,0.352
P00540,5,5.0,0.576,0.539,0.701,0.491
P00541,3,10.0,0.458,0.462,0.514,0.486
P00542,1,1.0,0.000,0.000,0.380,0.283
P00543,0,5.0,0.000,0.000,0.134,0.113
P00544,1,3.0,0.000,0.208,0.339,0.236
P00545,4,6.0,0.662,0.675,0.349,0.674
P00546,3,,0.396,,0.217,
P00547,3,3.0,0.238,0.193,0.632,0.646
P00548,1,7.0,0.038,0.164,0.244,0.206
P00549,3,4.0,0.101,0.124,0.628,0.781
P00550,1,1.0,0.000,0.007,0.085,0.134
